Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Er. Dinesh Kumar,Executive Engineer Killar Division HP.PWD. Killar (Pangi),29-Sep-2023 10:30 AM,05-Oct-2023 11:00 AM,29-Sep-2023 10:30 AM,04-Oct-2023 05:00 PM,NA ,NA ,29-Sep-2023 10:30 AM,04-Oct-2023 05:00 PM,09-Oct-2023 01:00 PM,"1,500",Nil,Nil,Yes,"51,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,Special Repair to Police Check Post (Residential building at Sansari Nallah Luj Tehsil Pangi,SH Providing brick work wood work roofing and finishing work etc,As refer to bidding document ,NA ,"29,27,589",Civil Works - Buildings,NA ,Tender,90.0,180.0,Killar,176323.0,NA ,NA ,NA ,Killar,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD/Bid Security through online mode",PWD,PW-KD-CB-Tender/2023/5454-5553 Date 25/9/23,2023_PWD_79506_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,PWD,2023_PWD_79506_1,PW-KD-CB-Tender/2023/5454-5553 Date 25/9/23,Special Repair to Police Check Post (Residential building at Sansari Nallah Luj Tehsil Pangi,Er. B.C. Negi,Internal,As per summary attached,Bahadur Chand Negi,09-Oct-2023 11:11 AM,09-Oct-2023 01:00 PM,techsummary_118497.pdf (677.31 KB),Er. B.C. Negi,Internal,As per summary attached,Bahadur Chand Negi,09-Jan-2024 04:27 PM,finsummary_118497.pdf (622.01 KB),09-Jan-2024,"INR 2,009,834.28",180.0,Bahadur Chand Negi,10-Jan-2024 11:32 AM,award-police-post.pdf (996.00 KB),Award letter for the work Special Repair to Police Check Post (Residential building at Sansari Nallah Luj Tehsil Pangi,Finance,Financial Opening summary,Bahadur Chand Negi,09-Jan-2024 04:20 PM,finance_118497.pdf,BOQ Comparative Chart,1.0,375922.0,LUCKY (GOVT. CONTRACTOR),INR,"2,009,834.28",1.0,376010.0,CHATTAR SINGH GOVT. CONT.,04-Oct-2023 04:31 PM,Rejected-Finance,Being a sixth lowest,09-Jan-2024,Technical,Bid Opening Summary,Bahadur Chand Negi,09-Oct-2023 11:03 AM,technical_118497.pdf
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,Scanned copy of Registration/Enlistment with H.P.P.W.D. Deptt. as per general rule No.23.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,375586.0,Devender Kumar,03-Oct-2023 09:40 PM,Rejected-Finance,Being second lowest,09-Jan-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Scanned copy of PAN and TIN and Income Tax clearance certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,375950.0,Gajender Singh,04-Oct-2023 04:38 PM,Rejected-Finance,Being a seventh lowest,09-Jan-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Scanned copy of work done certificate at least one similar work of 40 percent of the estimated valu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,375922.0,LUCKY (GOVT. CONTRACTOR),04-Oct-2023 02:38 PM,Accepted-AOC,Being a lowest contract has been awarded .,10-Jan-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,Scanned copy of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,375963.0,MAHERBAN RANA,04-Oct-2023 01:26 PM,Rejected-Finance,Being third lowest,09-Jan-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Report of charted Accountant showing total annual volume in last five year (Ref. General Rule 26.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,375642.0,MANOJ KUMAR,03-Oct-2023 01:32 PM,Rejected-Finance,Being a fourth lowest,09-Jan-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of GST as per general rule-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,375974.0,ROHIT KUMAR,04-Oct-2023 04:44 PM,Rejected-Finance,Being a fifth lowest,09-Jan-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/firm may like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form of bid as specified in Section-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
