Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.3,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
EE PP Singh,Internal,Jagdsih Sharma Supdt Anil Kumar Sr Asstt Suresh Sharma Jr Asstt,Kanav Barota,30-Jan-2024 01:06 PM,finsummary_100837.pdf (511.28 KB),30-Jan-2024,"INR 2,466,681",90.0,Kanav Barota,30-Jan-2024 01:11 PM,AOC.pdf (1005.00 KB),AOC,PWD,2022_PWD_66898_1,PW.NH.EE.THG Ten.2021-4985-5084 dt.13.12.2022,A.R and M.o Theog Kotkhai Hatkoti Road On NH 705 from Km 0.00 to 69.00,PP Singh,Internal,Jagidish Sharma Supdt Anil Kumar sr Asstt. Suresh Sharma Jr. Asstt.,Prithi Pal Singh,03-Jan-2023 05:06 PM,03-Jan-2023 05:10 PM,techsummary_100837.pdf (446.17 KB),1.0,314400.0,Anil,INR,"1,973,591",Finance,summary,Kanav Barota,30-Jan-2024 01:00 PM,finance_100837.pdf,BOQ Comparative Chart,1.0,Corrigendum,Corrigendum,30-Jan-2024 12:44 PM,Corrigendum...pdf ,323.11,Financial Opening,Technical,summary,Prithi Pal Singh,02-Jan-2023 12:53 PM,technical_100837.pdf,1.0,314413.0,AATISH KAPRATE,31-Dec-2022 02:31 PM,Rejected-Finance,Non Responsive,30-Jan-2024,1.0,ICICI BANK,"49,334",No,fixed,,Nil,Nil,A.R and M.o Theog Kotkhai Hatkoti Road On NH 705 from Km 0.00 to 69.00,SH Supplying and stacking of crusher sand and hiring of Excavator cum loader in km 0.0 to 3.00 and 30.0 to 60.0,Please refer Tender documents. ,NA ,"24,66,681",Civil Works - Roads,NA ,Tender,120.0,90.0,NH Theog,171201.0,NA ,NA ,NA ,EE NH Theog,No ,No,Executive Engineer NH Theog,HP PWD NH Theog,24-Dec-2022 05:00 PM,02-Jan-2023 11:00 AM,24-Dec-2022 05:00 PM,31-Dec-2022 06:00 PM,NA ,NA ,24-Dec-2022 05:00 PM,31-Dec-2022 06:00 PM,03-Jan-2023 05:10 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR Number of Payment made against cost of tender form and FDR,PWD,PW.NH.EE.THG Ten.2021-4985-5084 dt.13.12.2022,2022_PWD_66898_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,314400.0,Anil,31-Dec-2022 12:23 PM,Accepted-AOC,Responsive,30-Jan-2024,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per clause 4.3 of ITB,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,314410.0,MAHENDER SHARMA,31-Dec-2022 01:48 PM,Rejected-Finance,Non Responsive,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST Number, EPF Registration and Pan No.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid as per Section-6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Existing commitments and ongoing works as clause No.1.4(A) of Section-2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Equipment Capability (List of Machinery) as per clause 4.5.5 of ITB,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working programme(Proposed work method and schedule) as per clause 4.1 of ITB,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial position (liquid Assets/credit facility) as per clause 4.2(i) and 4.3 (G) of ITB,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding investment a minimum cash upto 25 percent of the value of the work,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authority to seek reference for bidders bankers a per clause 1.10 of Sec.2 and 4.3 (i) of ITB,,,,,,,,,,,,,,,,,,
