Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"5,000",Nil,Nil,No,PWD,BHUMANI,2021_PWD_54618_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM THROUGH ONLINE,13-Dec-2021 06:00 PM,20-Dec-2021 11:30 AM,13-Dec-2021 06:00 PM,20-Dec-2021 11:00 AM,NA ,NA ,13-Dec-2021 06:00 PM,20-Dec-2021 11:00 AM,10-Jan-2022 03:00 PM,"2,50,600",No,fixed,,Nil,Nil,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,1.0,ICICI BANK,Construction of link road from Pukhari to Bhumani KM 0/0 to 2/500,"Removal of formation deficiency in KM 0/0 to 2/500, Cross Drainage work in KM 1/0 to 2/500, M/T in KM 0/800 to 2/500",Please refer Tender documents. ,NA ,"1,25,51,086",Civil Works,NA ,Tender,75.0,365.0,TISSA,176316.0,NA ,NA ,NA ,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,No ,No,EE,Internal,EE SUPDT HDM SR ASSTT,Joginder Kumar,06-Jan-2022 01:35 PM,10-Jan-2022 03:00 PM,techsummary_81858.pdf (455.81 KB),PWD,2021_PWD_54618_1,BHUMANI,Construction of link road from Pukhari to Bhumani KM 0/0 to 2/500,10-Jan-2024,"INR 11,190,969",365.0,Joginder Kumar,10-Jan-2024 02:42 PM,KISHORI-AWARDLETTER.pdf (1047.00 KB),AOC,EE,Internal,SR ASSTT DB SUPDT,Joginder Kumar,10-Jan-2024 02:41 PM,finsummary_81858.pdf (184.51 KB),1.0,250694.0,construction,INR,"11,190,969",Finance,SUMMARY,Joginder Kumar,10-Jan-2024 02:31 PM,finance_81858.pdf,BOQ Comparative Chart,1.0,250694.0,construction,19-Dec-2021 06:51 PM,Accepted-AOC,AOC,10-Jan-2024,Technical,EVEALUATION,Joginder Kumar,06-Jan-2022 01:32 PM,
,,,,,,,,,,,,,,,,,,,,.pdf,BID SECURITY THROUGH ONLINE,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,LATEST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,PAN NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,FORM 7 AND 8 DULY SIEGNED BY THE CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY AS ADMISSIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF STAFF AS ADMISSIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,WORKDONE CERTIFICATE SIMILAR WORK 40 PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
