Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.2,Bank Name
EXECUTIVEENGINEER,Internal,SUPDTDAOHDM,Arvind Lakhanpal,08-Jan-2024 06:15 PM,finsummary_114993.pdf (562.80 KB),08-Jan-2024,"INR 2,545,238",60.0,Arvind Lakhanpal,08-Jan-2024 06:23 PM,AOC76922.pdf (818.00 KB),AOC,PWD,2023_PWD_76922_1,6091-50 Dated 247.23,S/R Bio Lab,EXECUTIVEENGINEER,Internal,DAOHDMSUPDT,Arvind Lakhanpal,22-Aug-2023 12:18 PM,23-Aug-2023 11:30 AM,techsummary_114993.pdf (827.22 KB),Finance,Fbidsummary,Arvind Lakhanpal,08-Jan-2024 05:36 PM,finance_114993.pdf,BOQ Comparative Chart,1.0,364220.0,PARVEEN KUMAR,INR,"2,545,238",Technical,Fbid Summary,Arvind Lakhanpal,21-Aug-2023 04:28 PM,,1.0,364223.0,ABHISHEK,04-Aug-2023 07:45 PM,Rejected-Finance,L2,08-Jan-2024,PWD,6091-50 Dated 247.23,2023_PWD_76922_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,S/R Bio Lab,P/F aluminium windows etc.,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,60.0,Near Sujanpur,177023.0,NA ,NA ,NA ,Tauni Devi,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form online mode,31-Jul-2023 10:30 AM,05-Aug-2023 11:00 AM,31-Jul-2023 10:30 AM,05-Aug-2023 10:30 AM,NA ,NA ,31-Jul-2023 10:30 AM,05-Aug-2023 10:30 AM,23-Aug-2023 11:30 AM,"44,000",No,fixed,,Nil,Nil,Execuve Engineer,Executive Engineer HPPWD Tauni Devi,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,364545.0,Gulam Mohamad,05-Aug-2023 10:28 AM,Rejected-Technical,Non-Responsive,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD online mode,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,364220.0,PARVEEN KUMAR,04-Aug-2023 12:19 PM,Accepted-AOC,L1,08-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,364500.0,SANJEEV KUMAR GOVT CONTRACTOR,05-Aug-2023 09:10 AM,Rejected-Technical,Non-Responsive,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work Done certificate as per SBD General Rules and Directions 26.2b (Only Completed Work),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,364486.0,varun gupta,05-Aug-2023 10:05 AM,Rejected-Technical,Non-responsive,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No.with latest clearance return, EPF No. with latest clearance return,Labour License,PAN Card",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tools and plant as per SBD with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.00 Lakhs or more,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site ar per SBD General Rules and Directions 27,,,,,,,,,,,,,,,,,,,
