Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
12-Jan-2024,"INR 4,019,505",180.0,Vineet Kumar Sharma,24-Jan-2024 01:28 PM,14853.pdf (456.00 KB),AOC,"Er. Vineet Kumar, E.E",Internal,"TA, HDM, DAO, AE to EE, AE Gopalpur",Vineet Kumar Sharma,14-Dec-2023 05:05 PM,finsummary_121636.pdf (189.04 KB),"Er. Vineet Kumar, E.E",Internal,"TA, Supdt, HDM, DAO, AE to EE, AE Gopalpur",Vineet Kumar Sharma,11-Dec-2023 02:20 PM,12-Dec-2023 11:00 AM,techsummary_121636.pdf (180.33 KB),PWD,2023_PWD_81785_1,EE Plp NIT No. 10710-59 dt. 16.11.2023,"Balance work for C/o Chachian to Darati via Mathrer road Km 0/00 to 3/900 in Distt. Kangra (SW- P/L GSB, G-II, C.C Pavement, Hume Pipe culvert, R/Walls, V-shape drain and RCC Slab Culvert between road portion in Km 2/425 to 2/965 (Under Nabard XXIV)",Technical,Technical Bid Opening Summary,Vineet Kumar Sharma,11-Dec-2023 02:17 PM,technical_121636.pdf,1.0,387524.0,Alpna Sharma,04-Dec-2023 12:52 PM,Rejected-Finance,The bidder is found L3,14-Dec-2023,1.0,387456.0,RAJEEV KUMAR ANAND,INR,"2,803,192",Finance,Financial Bid Opening Summary,Vineet Kumar Sharma,14-Dec-2023 05:00 PM,finance_121636.pdf,BOQ Comparative Chart,"Er. Vineet Kumar, EE",Palampur Division HP.PWD Palampur,28-Nov-2023 10:00 AM,04-Dec-2023 03:00 PM,28-Nov-2023 10:00 AM,04-Dec-2023 01:00 PM,NA ,NA ,28-Nov-2023 10:00 AM,04-Dec-2023 01:00 PM,12-Dec-2023 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6,"2,000",Nil,Nil,No,"80,500",No,fixed,,Nil,Nil,PWD,EE Plp NIT No. 10710-59 dt. 16.11.2023,2023_PWD_81785_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Balance work for C/o Chachian to Darati via Mathrer road Km 0/00 to 3/900 in Distt. Kangra (SW- P/L GSB, G-II, C.C Pavement, Hume Pipe culvert, R/Walls, V-shape drain and RCC Slab Culvert between road portion in Km 2/425 to 2/965 (Under Nabard XXIV)","Balance work for C/o Chachian to Darati via Mathrer road Km 0/00 to 3/900 in Distt. Kangra (SW- P/L GSB, G-II, C.C Pavement, Hume Pipe culvert, R/Walls, V-shape drain and RCC Slab Culvert between road portion in Km 2/425 to 2/965 (Under Nabard XXIV)",Please refer Tender documents. ,NA ,"40,19,505",Civil Works - Roads,NA ,Tender,75.0,180.0,Palampuir,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,387456.0,RAJEEV KUMAR ANAND,04-Dec-2023 11:02 AM,Accepted-AOC,AOC,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of Tender form as per Section -1 Point No. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,387347.0,TANUJ SHARMA,04-Dec-2023 11:32 AM,Rejected-Finance,The bidder is found L2,14-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per section -2 clause-16.1(on line),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q. 1-Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.3.1) (1.3.2) (1.3.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1. as per section -3 ( 1.4) alongwith documents i.e. Bill, R.C etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.6) (1.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.2) (1.7) (1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section-2 clause ( 4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Others documents i.e. G.S.T., PAN, EPF , Address of Bank etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
