Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
01-Jan-2024,"INR 22,559,671",270.0,Kumud Kumar Upadhyay,29-Mar-2024 02:06 PM,AL.pdf (737.00 KB),Award letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE DAO,Himanshu Verma,11-Dec-2023 12:16 PM,finsummary_120324.pdf (20.82 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM AE DAO,Kumud Kumar Upadhyay,27-Nov-2023 12:10 PM,02-Dec-2023 11:30 AM,techsummary_120324.pdf (814.04 KB),PWD,2023_PWD_80831_1,EE Salooni letter No. 6981-7030 dated 26.10.2023,"1) Improvement, M/T and C.D. on Link Road to village Nanan on existing grade km 0/0 to 1/420 (2) Improvement, M/T and CD on link road to village Shalodi K.M. 0/0 to 1/845 (3) Construction of link road to village Batmoh km 0/0 to 0/960",1.0,382553.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,INR,"20,831,600.64",Finance,Bid Opening summary,Himanshu Verma,11-Dec-2023 12:09 PM,finance_120324.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Kumud Kumar Upadhyay,15-Nov-2023 06:11 PM,technical_120324.pdf,1.0,382660.0,Govt Contractor,10-Nov-2023 09:36 AM,Rejected-Finance,Other Than Lowest,11-Dec-2023,"5,000",Nil,Nil,No,1.0,ICICI BANK,"4,51,200",No,fixed,,Nil,Nil,31-Oct-2023 10:20 AM,10-Nov-2023 11:30 AM,31-Oct-2023 11:00 AM,10-Nov-2023 11:00 AM,NA ,NA ,31-Oct-2023 11:00 AM,10-Nov-2023 11:00 AM,02-Dec-2023 11:30 AM,PWD,EE Salooni letter No. 6981-7030 dated 26.10.2023,2023_PWD_80831_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,"1) Improvement, M/T and C.D. on Link Road to village Nanan on existing grade km 0/0 to 1/420 (2) Improvement, M/T and CD on link road to village Shalodi K.M. 0/0 to 1/845 (3) Construction of link road to village Batmoh km 0/0 to 0/960","1) Imp. of def., C/O 900 mm dia hume pipe culverts a/w wing walls, R/walls and metalling and tarring in km 0/0 to 1/420 (2) Providing and laying M/T from K.M. 0/0 to 1/845 (3) Imp. of def., CD works P/L Base course and tarring work in km 0/0 to 0/960",Please refer Tender documents. ,NA ,"2,25,59,671",Civil Works,NA ,Tender,75.0,270.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382419.0,Kamal Thakur,09-Nov-2023 03:44 PM,Rejected-Finance,Other Than Lowest,11-Dec-2023,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,382553.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,09-Nov-2023 06:27 PM,Accepted-AOC,Work in progress,29-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7/8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand detail (Condition No. 16),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Turnover last five year,,,,,,,,,,,,,,,,,,,,
