,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,0.00-Q,,0.00-Q,,,,,,,01-07-2022
1,,Biswanath,0.00-Q,,0.00-Q,,Flatten Rice( Chira)-0.54-Q; Jaggery ( Gur)-0.10-Q; Milk-3.20-L; Biscuit-20.00-Pkt; Tarpaulin-12.00-Pieces; Chana-0.20-Q; Soyabeen-0.05-Q,,,,,01-07-2022
2,,Cachar,0.00-Q,,0.00-Q,,,,,,,01-07-2022
3,,Darrang,0.00-Q,,0.00-Q,,,,,,,01-07-2022
4,,Dhemaji,0.00-Q,,0.00-Q,,Tarpaulin -222.00-Pieces; Tarpaulin-1056.00-Pieces,,,,,01-07-2022
5,,Dhubri,0.00-Q,,0.00-Q,,HTW-16.00-Pieces,,,,,01-07-2022
6,,Dibrugarh,"0.00-Q, 532.00-Pkt",,"6418.00-Pkt, 0.00-Q, 399.00-Kg",,Tarpaulin sheets-23.00-Pieces; Halogen Tablets-1000.00-Pieces; Water Pouch-4800.00-Pkt; NADCC Tablet-7100.00-Pieces,,,,,01-07-2022
7,,Dima-Hasao,0.00-Q,,0.00-Pkt,,Onion-652.50-Kg; Biscuit-1232.00-Pkt; Milk-47.00-L; Potato-66.00-Kg; Candle-186.00-Pkt; Match Box-795.00-Pkt; M. Repellent-457.00-Pkt; Bathing Soap-423.00-Pkt; Dettol-6.00-Pieces,,,,,01-07-2022
8,,Hailakandi,"270.00-Pkt, 0.00-Q",,0.00-Q,,Candle-20.00-Pkt; Match box-5.00-Pkt; Water Purification Tablets-6000.00-Pieces; Water Packets-1250.00-Pkt; Tarpaulin-20.00-Pieces; Water Purification tablets-2000.00-Pieces,,,,,01-07-2022
9,,Hojai,0.00-Q,,0.00-Q,,Water-564.00-L; Sanitary Pad-30.00-Pkt; Candle-16.00-Pkt; Phenyl-16.00-Pieces; Bleaching Powder-16.00-Pkt,,,,,01-07-2022
10,,Kamrup,0.00-Q,,0.00-Q,,,,,,,01-07-2022
11,,Karbi Anglong West,400.00-L,,2000.00-Pkt,,Sanitary Napkins-2000.00-Pkt,,,,,01-07-2022
12,,Karimganj,"135.00-Pkt, 0.00-Q",,"100.00-Pkt, 0.00-Q",,MOSQUITO COIL-15.00-Pkt; MATCH BOX-15.00-Pkt; CANDLE-30.00-Pkt; BLEACHING POWER-15.00-Pkt; Water Purification Tablet-3925.00-Pkt; Chemical Packets-9560.00-Pkt; Water Pouch-1150.00-Pkt; Lime & Bleaching Powder Pouch-1775.00-Pkt; Hydrochloride Solution-80.00-L; 0-0.00-Q,,,,,01-07-2022
13,,Lakhimpur,0.00-Q,,"0.00-Q, 11.00-Pkt",,Tarpaulin-1566.00-Pieces; Concentrate Feed (Cattle Feed)-4.50-Q; Tarpaulin -338.00-Pieces; Potato-30.00-Kg; Soyabean-2.00-Kg; Onion-10.00-Kg; Candle-15.00-Pkt; Biscuit-30.00-Pkt; Disposable Plate & Glass-300.00-Pieces; Haldi-1.00-Kg; Dry Chilli-0.50-Kg; Bread-30.00-Pkt,,,,,01-07-2022
14,,Majuli,0.00-Q,,0.00-Q,,Helogen Tab-1000.00-Pieces,,,,,01-07-2022
15,,Morigaon,0.00-Q,,0.00-Q,,Sanitary Napkin-490.00-Q; Water Pouch-3000.00-Q; HTW-7.00-Q; Temporary Toilets -4.00-Q; Chemical Packets-600.00-Q; Halogen Tablets-2000.00-Q; Tarpoulin-122.00-Pieces,,,,,01-07-2022
16,,Nagaon,"0.00-Q, 500.00-Pkt",,"0.00-Q, 500.00-Pkt",,HTW-30.00-Q; Tube Well -77.00-Pieces; Temporary Sanitary-33.00-Pieces; Temporary Bathroom-20.00-Pieces; HTW -55.00-Pieces; Temporary Bathroom -7.00-Pieces; Temporary Toilet -16.00-Pieces; Tarpaulin -1300.00-Pieces,,,,,01-07-2022
17,,Sonitpur,0.00-Q,,0.00-Q,,Chira-32.21-Q; Gur-5.92-Q,,,,,01-07-2022
18,,Tinsukia,0.00-Q,,0.00-Q,,tarpaulin-1346.00-Pieces; 0-0.00-Q,,,,,01-07-2022
