,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Biswanath,0.00-Q,,0.00-Q,,,,,,,02-07-2022
1,,Cachar,0.00-Q,,0.00-Q,,Mortien -13.00-Pkt; Candle -13.00-Pkt,,,,,02-07-2022
2,,Charaideo,0.00-Pkt,,0.00-Pkt,,,,,,,02-07-2022
3,,Chirang,0.00-Q,,103.00-Pkt,,Candle-383.00-Pkt; Potato-2.37-Q; Onion-79.00-Kg; Chilli-20.00-Kg; Soyabean-39.50-Kg; Soap-40.00-Pieces; Tarpaulin-18.00-Pieces,,,,,02-07-2022
4,,Darrang,0.00-Q,,"0.00-Q, 756.00-Pkt",,0-0.00-Q,,,,,02-07-2022
5,,Dhemaji,0.00-Q,,0.00-Q,,Tarpaulin-210.00-Pieces,,,,,02-07-2022
6,,Dibrugarh,"0.00-Q, 1151.00-Pkt",,"0.00-Q, 744.50-Kg",,Bleaching Powder-59.00-Kg; Halogen Tablet-2400.00-Pieces; Water Pouches-2500.00-Pkt; NADCC Tablet-9000.00-Pieces; Water Pouch-1500.00-Pkt; Water Pouch-4000.00-Pieces; Halogen Tablets-500.00-Pieces; Soyabean-12.00-Pkt; Potato-52.00-Kg; Green veg-14.00-Kg; Bread-50.00-Pkt; Turmeric powder -2.10-Kg; Horlicks-41.00-Pkt; Lemon-12.00-Pieces; Onion-40.00-Kg; Mosquito coil-10.00-Pieces; Mineral water-70.00-L,,,,,02-07-2022
7,,Dima-Hasao,1.00-Pkt,,0.00-Q,,Onion-8.00-Kg; Milk-1.50-L; Match Box-10.00-Pkt; M. Repellent-13.00-Pkt; Soap-16.00-Pieces; Phenyl-2.00-L,,,,,02-07-2022
8,,Hailakandi,0.00-Q,,0.00-Q,,,,,,,02-07-2022
9,,Karimganj,0.00-Q,,0.00-Q,Wheat Bran-150.00-Q; HALOGEN TABLET-2500.00-Pieces; CHEMICAL PACKETS (50 GRAMS)-1200.00-Pkt; WATER POUCH (300 ML)-5000.00-Pkt; HYPOCHLORITE SOLUTION-10.00-Pieces; LIME BLEACHING MIXTURE (500GRAM POUCH)-40.00-Pkt; Water Purification Tablet-3825.00-Pkt; Chemical Packets-6950.00-Pkt; Water Pouch-300.00-Pkt; Lime & Bleaching Powder Pouch-1550.00-Pkt; Hydrochloride Solution-25.00-L,,,,,,02-07-2022
10,,Lakhimpur,"0.00-Q, 1819.00-Pkt",,21.83-Q,Concentrated Cettle Feed Godrej Supreme-105.00-Q; Halogen Tablet (PHE)-8000.00-Pkt; Water Pouch (PHE)-11000.00-Pkt; Jaggery (Gur)-5.46-Q; Chira-16.24-Q; tarpaulin-1000.00-Pieces,,,,,,02-07-2022
11,,Morigaon,0.00-Q,,0.00-Q,Chemical Packets-500.00-Q; Halogen Tablets-4000.00-Q; Water Pouch -4000.00-Q,,,,,,02-07-2022
12,,Nagaon,0.00-Q,,0.00-Q,HTW-1.00-Pieces; Tube Well-15.00-Pieces,,,,,,02-07-2022
13,,Sivasagar,234.50-L,,234.50-Kg,Sugar (against baby food)-118.00-Kg; Sanitary Napkin-1330.00-Pkt; Phenyl-1980.00-Pieces,,,,,,02-07-2022
14,,Sonitpur,0.00-Q,,0.00-Q,Chira-25.26-Q; Gur-4.75-Q,,,,,,02-07-2022
15,,Tamulpur,0.00-Q,,0.00-Q,,,,,,,02-07-2022
16,,Tinsukia,0.00-Q,,0.00-Q,0-0.00-Q,,,,,,02-07-2022
