S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,363745.0,KARTAR SINGH,INR,"11,150,669",Finance,Financial bid evaluation summary,Manohar Lal Sharma,22-Aug-2023 11:18 AM,,BOQ Comparative Chart,Technical,Technical bid evaluation summary,Manohar Lal Sharma,05-Aug-2023 05:45 PM,technical_114825.pdf,1.0,363748.0,HAKAM CHAND,02-Aug-2023 05:50 PM,Rejected-Finance,Due to L2,22-Aug-2023,05-Oct-2023,"INR 11,263,302",90.0,Manohar Lal Sharma,05-Oct-2023 12:51 PM,Kartarauditoriumaward.pdf (678.00 KB),Award letter dated 15/09/2023,Executive Engineer,Internal,HDM DAO SUPDT,Manohar Lal Sharma,22-Aug-2023 11:20 AM,finsummary_114825.pdf (253.97 KB),Executive Engineer,Internal,HDM DAO SUPDT,Manohar Lal Sharma,09-Aug-2023 06:36 PM,09-Aug-2023 06:40 PM,techsummary_114825.pdf (425.50 KB),PWD,2023_PWD_76812_1,PW-BLP1-CB-eproc/23-6113-27 dt 20.7.23,Construction of Indoor Auditorium for cultural Programme at Bilaspur.,"5,000",Nil,Nil,No,Construction of Indoor Auditorium for cultural Programme at Bilaspur.,Providing and fixing furniture thereof.,Please refer Tender documents. ,NA ,"1,12,63,302",Civil Works - Others,Providing and fixing furniture thereof. ,Tender,75.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur",No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of Tender form cost and EMD indicated in schedule E.,1.0,ICICI BANK,PWD,PW-BLP1-CB-eproc/23-6113-27 dt 20.7.23,2023_PWD_76812_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,45,500",No,fixed,,Nil,Nil,Executive Engineer,"Division No.1, HPPWD Bilaspur",27-Jul-2023 09:00 AM,03-Aug-2023 11:00 AM,27-Jul-2023 09:00 AM,03-Aug-2023 10:30 AM,NA ,NA ,27-Jul-2023 09:00 AM,03-Aug-2023 10:30 AM,09-Aug-2023 06:40 PM
,,,,,,,,,,,,,,,,2.0,363745.0,KARTAR SINGH,02-Aug-2023 05:42 PM,Accepted-AOC,Due to L1,05-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST EPF and PAN Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover for last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration registered under the Companies Act. 1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of ink signed and stamped authorization in original from OEM.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"certificates ISO 9001-2015, ISO 14001-2015, ISO 50001-2015 certi, issued by NABL , BIFMA membership",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
