Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
09-Jun-2023 10:00 AM,20-Jun-2023 11:30 AM,09-Jun-2023 10:00 AM,19-Jun-2023 06:00 PM,NA ,NA ,09-Jun-2023 10:00 AM,19-Jun-2023 06:00 PM,03-Jul-2023 04:10 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,1.0,ICICI BANK,350.0,Nil,Nil,No,"13,000",No,fixed,,Nil,Nil,1.0,Corrigendum,Date,,Executive Engineer,HPPWD Division Dehra,C/o Link road from Kathog to Kundli Har via Panjla in Km.0/00 to 1/600,"Providing and laying GSB, G-II, G-III and premix carpet in Km. 0/495 to 0/630 and 0/655 to 0/730",Please refer to tender documents ,NA ,"6,36,797",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,PWD,EE Dehra Letter No. 1282-87 dated 30.05.2023,2023_PWD_74696_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,353790.0,Narinder Kumar,14-Jun-2023 06:16 PM,Rejected-Finance,Highest Bidder,06-Jul-2023,Technical,Summary,Arun Vashisht,03-Jul-2023 03:54 PM,technical_111965.pdf,Finance,Summary,Arun Vashisht,06-Jul-2023 12:41 PM,finance_111965.pdf,BOQ Comparative Chart,1.0,353766.0,RAJ KUMAR,INR,"506,561",EE Dehra,Internal,"HDM,Supdt,DAO",Arun Vashisht,03-Jul-2023 04:06 PM,03-Jul-2023 04:10 PM,techsummary_111965.pdf (1760.86 KB),PWD,2023_PWD_74696_1,EE Dehra Letter No. 1282-87 dated 30.05.2023,C/o Link road from Kathog to Kundli Har via Panjla in Km.0/00 to 1/600,10-Oct-2023,"INR 636,797",30.0,Arun Vashisht,10-Oct-2023 04:28 PM,rajkumar2023_PWD_74696_1.PDF (601.00 KB),Work award issued,EE Dehra,Internal,"HDM,Supdt,DAO",Arun Vashisht,06-Jul-2023 12:46 PM,finsummary_111965.pdf (1075.47 KB)
,,,,,,,,,,,.pdf,Copy of enlistment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,353766.0,RAJ KUMAR,15-Jun-2023 02:19 PM,Accepted-AOC,L1,10-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,355350.0,SHANKY KAPOOR,19-Jun-2023 04:12 PM,Rejected-Finance,Highest Bidder,06-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
