Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Receipt of Tender form cost and EMD indicated in schedule E.,Executive Engineer,"Division No.1, HPPWD Bilaspur","2,000",Nil,Nil,No,17-Apr-2023 10:00 AM,26-Apr-2023 11:00 AM,17-Apr-2023 10:00 AM,26-Apr-2023 10:30 AM,NA ,NA ,17-Apr-2023 10:00 AM,26-Apr-2023 10:30 AM,29-Apr-2023 10:40 AM,Construction of additional block with toilet for Distt. Library at Bilaspur.,Building portion,Please refer Tender documents. ,NA ,"45,65,619",Civil Works - Buildings,Building portion ,Tender,75.0,365.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur",No ,No,"76,000",No,fixed,,Nil,Nil,PWD,PW-BLP1-CB-eproc/23-21718-68 dt 25.3.23,2023_PWD_72255_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,PWD,2023_PWD_72255_4,PW-BLP1-CB-eproc/23-21718-68 dt 25.3.23,Construction of additional block with toilet for Distt. Library at Bilaspur.,Executive Engineer,Internal,HDM DAO SUPDT,Gurminder Singh,29-Apr-2023 10:37 AM,29-Apr-2023 10:40 AM,techsummary_108740.pdf (502.97 KB),Executive Engineer,Internal,HDM DAO SUPDT,Gurminder Singh,29-Apr-2023 04:51 PM,finsummary_108740.pdf (403.81 KB),05-Oct-2023,"INR 4,565,620",365.0,Manohar Lal Sharma,05-Oct-2023 12:54 PM,Himanshuaward.pdf (691.00 KB),Award letter dated 25/05/2023,Finance,Financial bid opening summary,Gurminder Singh,29-Apr-2023 04:46 PM,finance_108740.pdf,BOQ Comparative Chart,1.0,343392.0,Himanshu Thakur,INR,"3,830,555",1,344087,Arvind Kumar Sareen,25-Apr-2023 09:01 PM,Rejected-Finance,Due to L6,29-Apr-2023,Technical,Technical bid opening summary,Gurminder Singh,29-Apr-2023 10:36 AM,technical_108740.pdf
,,.pdf,Contractor Registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,344083,ASHISH THAKUR,25-Apr-2023 08:25 PM,Rejected-Finance,Due to L4,29-Apr-2023,,,,,
,,.pdf,GST EPF and PAN Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,343361,DEEPAK SHARMA,23-Apr-2023 01:03 PM,Rejected-Finance,Due to L7,29-Apr-2023,,,,,
,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,343392,Himanshu Thakur,23-Apr-2023 01:48 PM,Accepted-AOC,Due to L1,05-Oct-2023,,,,,
,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,343895,Lalit Kumar,24-Apr-2023 07:53 PM,Rejected-Finance,Due to L2,29-Apr-2023,,,,,
,,.pdf,"Affidavit of machinery, tools and plants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,344032,nishant,25-Apr-2023 07:05 PM,Rejected-Finance,Due to L3,29-Apr-2023,,,,,
,,.pdf,Form No 8 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,343368,Ram Lal Chaudhary,23-Apr-2023 01:23 PM,Rejected-Finance,Due to L8,29-Apr-2023,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,343893,ROHAN KARTIK MAHAJAN,24-Apr-2023 07:44 PM,Rejected-Finance,Due to L2,29-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,344100,Sandeep Thakur,26-Apr-2023 01:20 AM,Rejected-Technical,Non Responsive,29-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,343982,UPANSHU SHARMA,25-Apr-2023 07:02 PM,Rejected-Finance,Due to L5,29-Apr-2023,,,,,
