Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
08-Sep-2023 11:00 AM,14-Sep-2023 11:00 AM,08-Sep-2023 11:00 AM,13-Sep-2023 06:00 PM,NA ,NA ,08-Sep-2023 11:00 AM,13-Sep-2023 06:00 PM,20-Sep-2023 11:05 AM,"85,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,HPPWD DIVISION KOTKHAI,"R/R Damages on GPB road in K.M. 0/00 to 28/545, Removal of slips at various RDs between in K.M. 10/00 to 12/00 adn 17/00 to 21/00 and C/o, B/Wall in PCC and wire crate at R.D. 10/790 to 10/820, 11/170 to 11/220, 11/475 to 11/495, 11/550 to 11/560","Removal of slips at various RDs between in K.M. 10/00 to 12/00 adn 17/00 to 21/00 and C/o, B/Wall in PCC and wire crate at R.D. and 11/690 to 11/700, 18/00 to 18/050, 18/405 to 18/420 and 20/530 to 20/560",Please refer Tender documents. ,NA ,"42,90,235",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE KOTKHAI,No ,No,PWD,PW-KD-E-Tender/2023-24-2865-69 dtd 2-9-2023,2023_PWD_78582_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,2023_PWD_78582_3,PW-KD-E-Tender/2023-24-2865-69 dtd 2-9-2023,"R/R Damages on GPB road in K.M. 0/00 to 28/545, Removal of slips at various RDs between in K.M. 10/00 to 12/00 adn 17/00 to 21/00 and C/o, B/Wall in PCC and wire crate at R.D. 10/790 to 10/820, 11/170 to 11/220, 11/475 to 11/495, 11/550 to 11/560",Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,20-Sep-2023 11:03 AM,20-Sep-2023 11:05 AM,techsummary_117188.pdf (2068.35 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,22-Sep-2023 12:29 PM,finsummary_117188.pdf (187.80 KB),12-Oct-2023,"INR 4,290,235",45.0,Vinod Shyam,12-Oct-2023 01:22 PM,1.pdf (743.00 KB),1.0,371423.0,SANDEEP DOGRA GOVT. CONTRACTOR,11-Sep-2023 05:36 PM,Rejected-Finance,L2 BIDDER,22-Sep-2023,Technical,SUMMARY UPDATED,Vinod Shyam,20-Sep-2023 11:02 AM,technical_117188.pdf,1.0,371400.0,SURENDER MOHAN,INR,"4,495,992",Finance,SUMMARY UPLOADED,Vinod Shyam,22-Sep-2023 12:26 PM,finance_117188.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,2.0,371400.0,SURENDER MOHAN,11-Sep-2023 05:44 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,12-Oct-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
