Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Auction Initiated Status :,Reason :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name
HPSEBL,2023_HPSEB_76969_1,CE(MM)-13/2023,Procurement of ISI marked EHV Grade Transformer Oil,1.0,364422.0,SAVITA OIL TECHNOLOGIES LTD,INR,"30,544,370.84",Sr. Executive Engineer,Internal,Accounts Officer Assisatant Engineer Junior Engineer,Vimal Kumar,06-Oct-2023 06:33 PM,finsummary_115063.pdf (122.83 KB),06-Oct-2023,"INR 30,544,370.84",120.0,Vimal Kumar,06-Oct-2023 06:35 PM,awardsummarytoil.pdf (123.00 KB),The Purchase Order was placed on 30.09.2023,Finance,Auto Opened,Vimal Kumar,23-Aug-2023 03:20 PM,,Yes,As per NIT.,BOQ Comparative Chart,Technical,Technical opening summary,Vimal Kumar,11-Aug-2023 04:00 PM,technical_115063.pdf,Chief Engineer(MM),Internal,"Sr. Executive Engineer,Asstt. Engineer,Junior Engineer",Vimal Kumar,22-Aug-2023 03:54 PM,23-Aug-2023 03:00 PM,techsummary_115063.pdf (403.08 KB),1.0,364949.0,Apar Industries Ltd,10-Aug-2023 02:01 PM,Rejected-AOC,Quoted L-III rates,06-Oct-2023,HPSEBL,CE(MM)-13/2023,2023_HPSEB_76969_1,Yes,Open Tender,Tender cum Auction,Goods,3.0,No,Yes,Online,No,No,No,"2,73,700",Yes,fixed,,Nil,Nil,"1,180",Nil,Nil,No,Chief Engineer (MM),"Office of Chief Engineer MM,Vidyut Bhawan,Shimla-171004",Procurement of ISI marked EHV Grade Transformer Oil,Procurement of ISI marked EHV Grade Transformer Oil,As per NIT ,EMD for HP based local units registered with HPSEBL is Nil and for others is Rs. 273700 ,"2,73,70,000",Electrical Work/ Equipment,Transformer Oil ,Tender,120.0,120.0,Field units of HPSEBL,171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM,Vidyut Bhawan,Shimla",No ,No,1.0,Fee,.pdf,Proof of Tender Fee,01-Aug-2023 10:00 AM,11-Aug-2023 03:00 PM,02-Aug-2023 11:00 AM,11-Aug-2023 11:00 AM,NA ,NA ,02-Aug-2023 11:00 AM,11-Aug-2023 11:00 AM,23-Aug-2023 03:00 PM,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,364025.0,COLUMBIA PETRO CHEM PVT LTD,10-Aug-2023 06:13 PM,Rejected-AOC,Quoted L-II rates,06-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,365333.0,INDIAN OIL CORPORATION LIMITED,09-Aug-2023 05:37 PM,Not Admitted-Fee,Others-Due to Non submission of EMD as per Clause No. 15.0 of Section-I of Tender Documents,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS Certificate, ISO certificate, GST registration certificate, PAN Card copy and ITR",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,365164.0,NANDAN PETROCHEM LTD,11-Aug-2023 09:37 AM,Rejected-AOC,Quoted L-IV rates,06-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,364422.0,SAVITA OIL TECHNOLOGIES LTD,09-Aug-2023 03:28 PM,Accepted-AOC,Quoted L-I rates,06-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings, Type test reports of offered material and undertaking regarding e- Reverse Auction",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Plant Machinery, Testing Equipments used for routine and acceptance test to be carried out",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt., Semi Govt. organization",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years, Last three years turn over duly certified by CA",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,
