EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Expected Value,1.0,Unnamed: 3,1.01,"1,000",1.02,10,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"99,77,000",No,fixed,,Nil,Nil,"Improvement, Widening and Strengthening of Shahpur Sihunta Chowari Road Km 0/0 to 52/0 (Portion Sihunta to Lahru Km 24/0 to 47/430",Formation Cutting Widening of Road Construction of Retaining Walls Breast Walls Cross Drainage Works Cement Concrete Pavements Parapets Side Drains Road Furniture and Metalling Tarring including construction of Super Structure of 02 Nos PSC,Please refer Tender documents. ,NA ,"49,88,46,969",Construction Works,Civil Works ,Tender,75.0,720.0,Chowari,176302.0,NA ,NA ,NA ,S.E. 7th Circle HPPWD Dalhousie,No ,No,Chief Engineer KZ HPPWD Dharamshala,Chief Engineer KZ HPPWD Dharamshala,Particulars,Mandatory,FEE,No,   EMD,No,   TENDER FEE,No,PWD,1599-1628 dated 23.08.2023,2023_PWD_77934_1,Yes,Open Tender,Percentage,Works,2.0,Yes,No,Online,No,No,No,"10,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Online detail of payment receipt.,25-Aug-2023 10:00 AM,16-Sep-2023 11:30 AM,25-Aug-2023 10:00 AM,15-Sep-2023 05:00 PM,25-Aug-2023 10:00 AM ,15-Sep-2023 05:00 PM ,25-Aug-2023 10:00 AM,15-Sep-2023 05:00 PM,27-Sep-2023 11:00 AM,1.0,368591.0,OASIS PROJECTS LIMITED,INR,"318,763,213",Finance,finsummarey,Harsh Puri,27-Sep-2023 11:24 AM,finance_116334.pdf,BOQ Comparative Chart,1.0,370828.0,M/s R.K Mahajan Govt Contractor,15-Sep-2023 03:13 PM,Rejected-Finance,Rejected,04-Oct-2023,Technical,technical summary,Harsh Puri,19-Sep-2023 11:08 AM,technical_116334.pdf,Chief Engineer,Internal,EE Chowari Deputy Controller KZ Superintending Engineer 7th Circle Superintending Engineer (KZ),Harsh Puri,21-Sep-2023 12:10 PM,27-Sep-2023 11:00 AM,techsummary_116334.pdf (1678.08 KB),PWD,2023_PWD_77934_1,1599-1628 dated 23.08.2023,"Improvement, Widening and Strengthening of Shahpur Sihunta Chowari Road Km 0/0 to 52/0 (Portion Sihunta to Lahru Km 24/0 to 47/430",27-Oct-2023,"INR 318,763,213.19",720.0,Harsh Puri,30-Oct-2023 03:44 PM,aoc.pdf (665.00 KB),Work awarded,SE,Internal,TA Supdt Works EO EE(D),Harsh Puri,04-Oct-2023 11:54 AM,finsummary_116334.pdf (333.45 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Copy of Legal Status,,,,,,,,,,,,,,,,,,,,,2.0,371922.0,M/s Satish Kumar Sharma,14-Sep-2023 07:27 PM,Rejected-Finance,Rejected,04-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3 (a) (certified by charted accountant for last 5 years),,,,,,,,,,,,,,,,,,,,,3.0,368591.0,OASIS PROJECTS LIMITED,15-Sep-2023 02:44 PM,Accepted-AOC,Work awarded,30-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit Facilities as per ITB Cl 4.5.6 as per sample format.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Personnel Capabilities as per ITB Cl 4.5.4) Ref Annex-I of Appendix to ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Equipment capabilities as per Cl 4.5.4 Ref Annex-II of Appendix to ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Undertaking as per ITB Cl 4.3 (h), (i), (j), (k), (l)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of EPF, GST and PAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents and as specified in bid document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Additional Documents, if bidder would like to submit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
