EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"1,760",No,fixed,,Nil,Nil,1.0,ICICI BANK,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,cost of tender,"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Palampur||RE Baner, Jia",HPSEBL/BPHDJ-08/2023-24,2023_HPSEB_79686_1,Yes,Limited,Item Rate,Works,2.0,No,No,Online,No,No,No,HPSEBL/BPHDJ-08/2023-24,dismantling of existing Sidhpur Feeder Current Transformers with CT ratio 300-150/1-1 A and upgrading to new Current Transformers with CT ratio 600-300/1-1-1 A (3 Nos./ 1 set ) (installation and commissioning) for evacuation of energy from 33 kV Bane,Please refer Tender documents. ,NA ,"1,76,093",Electrical Works,NA ,Tender,180.0,45.0,Baner power house,176059.0,NA ,NA ,NA ,baner power house division,No ,No,04-Oct-2023 05:00 PM,13-Oct-2023 11:00 AM,04-Oct-2023 05:00 PM,12-Oct-2023 03:00 PM,04-Oct-2023 05:00 PM ,12-Oct-2023 03:00 PM ,04-Oct-2023 05:00 PM,12-Oct-2023 03:00 PM,13-Oct-2023 02:30 PM,resident engineer,"Bane rPower House Division HPSEBL, Jia. VPO Jia. Tehsil Palampur. Distt Kangra. HP",1.0,377545.0,Akhilesh Chaudhary,12-Oct-2023 09:50 AM,Rejected-AOC,BEING L2,18-Oct-2023,"Er. Amit Patial, R.E.",Internal,"Er. Ankit Rattan Verma, Er. Ashwani Kumar Soni, Smt. Saroj kumari, Sh. Ashwani Kumar",Amit Patial,13-Oct-2023 01:43 PM,13-Oct-2023 02:30 PM,techsummary_118736.pdf (381.61 KB),Technical,Technical bid opening summary,Amit Patial,13-Oct-2023 01:05 PM,technical_118736.pdf,Finance,All financial have been accepted,Amit Patial,13-Oct-2023 02:56 PM,finance_118736.pdf,BOQ Comparative Chart,18-Oct-2023,"INR 184,897",45.0,Amit Patial,18-Oct-2023 03:43 PM,AOCSIDHPUR.pdf (752.00 KB),AOC,"Er. Amit Patial, R.E.",Internal,"Er. Ashwani Kumar Soni, Er Ankit Rattan Verma, Smt Saroj Kumari, Sh Ashwani Kumar.",Amit Patial,13-Oct-2023 03:05 PM,finsummary_118736.pdf (209.24 KB),"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Palampur||RE Baner, Jia",2023_HPSEB_79686_1,HPSEBL/BPHDJ-08/2023-24,HPSEBL/BPHDJ-08/2023-24,1.0,377342.0,THAKUR HARDWARE STORE,INR,"184,897"
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,377407.0,ANKUSH KAPIL,11-Oct-2023 01:40 PM,Rejected-AOC,BEING L3,18-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,firm registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,377342.0,THAKUR HARDWARE STORE,11-Oct-2023 11:01 AM,Accepted-AOC,BEING L1,18-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,income tax statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,no black listed Affidavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,other qualifying documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
