Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address
Finance,Summary,Sarwan Thakur,07-Oct-2023 10:16 AM,,BOQ Comparative Chart,Technical,Summary_1,Sarwan Thakur,04-Jul-2023 01:43 PM,technical_112481.pdf,07-Oct-2023,"INR 3,323,125",365.0,Sarwan Thakur,07-Oct-2023 10:33 AM,Award.pdf (106.00 KB),Award Letter,Executive Engineer,Internal,1. Superintendent GR.II. 2. HDM. 3. Sr. Asstt of AB 4. Tender Asstt.,Sarwan Thakur,04-Jul-2023 01:47 PM,04-Jul-2023 02:10 PM,techsummary_112481.pdf (539.35 KB),1,355801,AMIT CHOUDHARY,21-Jun-2023 06:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2023,1.0,356329.0,Vijay Singh,INR,"3,323,125","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Dharamshala,Irrigation and Public Health,HP",2023_HPIPH_75086_1,EE/IPHT/WA-I/23-3370-3420 dt 16.06.2023,CAD Work to Lift Irrigation Scheme Kangain in Tehsil Jaisinghpur Distt. Kangra HP,Executive Engineer,Internal,1. Supdt Gr-II 2. HDM Thural 3. Sr. Asstt. A/B 4. Tender Asstt.,Sarwan Thakur,07-Oct-2023 10:23 AM,finsummary_112481.pdf (1327.89 KB),CAD Work to Lift Irrigation Scheme Kangain in Tehsil Jaisinghpur Distt. Kangra HP,Laying Jointing and testing of HDPE pipe in distribution system construction of Outlets and PVC Control valves,Please refer Tender documents. ,NA ,"61,49,710",Civil Works - Others,NA ,Tender,120.0,180.0,Lambagaon,176107.0,NA ,NA ,NA ,EE JSV Divission Thural,No ,No,16-Jun-2023 05:30 PM,27-Jun-2023 11:30 AM,16-Jun-2023 05:30 PM,27-Jun-2023 10:30 AM,NA ,NA ,16-Jun-2023 05:30 PM,27-Jun-2023 10:30 AM,04-Jul-2023 02:10 PM,1.0,Fee/PreQual/Technical,.pdf,i) Cost of Bid Document and Earnest Money etc. Shall be deposited through online mode (E-Payment,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Dharamshala,Irrigation and Public Health,HP",EE/IPHT/WA-I/23-3370-3420 dt 16.06.2023,2023_HPIPH_75086_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"61,497",Yes,fixed,,EE JSV Divission Thural,EE JSV Divission Thural,1.0,ICICI BANK,400.0,EE JSV Divission Thural,EE JSV Divission Thural,Yes,EE JSV Divission Thural,EE JSV Divission Thural
,,,,,,,,,,,,,,,,,,,,,,,,,2,356885,Kewal Krishan Sarmai,26-Jun-2023 05:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ii) Certificate of Registration with JSV (IPH) Department in appropriate class and latest renewal th,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3,356681,Naveen Kumar,26-Jun-2023 10:54 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,iii) Income Tax and GST registration and latest clearance certificate thereof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,4,356866,NIRMAL RANA,26-Jun-2023 05:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,iv) The contractors/Firms who fails to fulfill the Technical Bids/eligibility information will be su,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,5,357019,PURSHOTAM CHAND SHARMA,27-Jun-2023 10:20 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,v) An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc hav,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,6,356238,RANDEEP SINGH GOVT CONT,26-Jun-2023 06:45 PM,Rejected-Finance,L4,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,vii) Registration copy of EPF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,7,356658,Ravinder Kumar Sahore,26-Jun-2023 10:00 AM,Rejected-Finance,L3,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,viii) Copy of authorization DSC be uploaded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,8,355263,SANJIV KUMAR,26-Jun-2023 07:30 PM,Rejected-Finance,L2,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ix) Other conditions as per terms and conditions as per NIT be required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,9,356768,SUNIL KUMAR,26-Jun-2023 01:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,10,356392,VIJAY KAPOOR,26-Jun-2023 10:04 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
