Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
PWD,NIT No.7395-7454 DT.01-09-2023-Bhawarna,2023_PWD_78444_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,1.0,ICICI BANK,"20,000",No,fixed,,Nil,Nil,Restoration of rain damages on Hamirpur Sujanpur Thural Maranda road Km 30/0 to 59/775,Repair of bridge on Sukad Khad at RD 44/905,Please refer Tender documents. ,NA ,"9,96,288",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,06-Sep-2023 10:00 AM,12-Sep-2023 11:30 AM,06-Sep-2023 10:05 AM,12-Sep-2023 11:00 AM,NA ,NA ,06-Sep-2023 10:30 AM,12-Sep-2023 11:00 AM,26-Sep-2023 01:00 PM,PWD,2023_PWD_78444_1,NIT No.7395-7454 DT.01-09-2023-Bhawarna,Restoration of rain damages on Hamirpur Sujanpur Thural Maranda road Km 30/0 to 59/775,Sh. Sanjiv Mahajan,Internal,Anand Katoch AEtoEE Subhash Chand Supdt. Shubham JDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Anand Katoch,26-Sep-2023 12:38 PM,26-Sep-2023 01:00 PM,techsummary_117010.pdf (372.72 KB),Sh. Sanjiv Mahajan,Internal,,Sanjiv Mahajan,03-Oct-2023 02:46 PM,finsummary_117010.pdf (307.51 KB),03-Oct-2023,"INR 772,123.2",90.0,Sanjiv Mahajan,14-Dec-2023 11:43 AM,AOC.pdf (382.00 KB),AOC,1.0,370608.0,Krishan Singh,09-Sep-2023 11:51 AM,Rejected-Finance,L2,03-Oct-2023,Technical,Summary,Anand Katoch,26-Sep-2023 12:35 PM,technical_117010.pdf,Finance,Summary,Sanjiv Mahajan,03-Oct-2023 02:39 PM,finance_117010.pdf,BOQ Comparative Chart,1.0,370304.0,RANBIR SINGH BHURIA,INR,"772,123"
,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,370304.0,RANBIR SINGH BHURIA,08-Sep-2023 05:13 PM,Accepted-AOC,L1,14-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,371446.0,SANJAY SAINI,11-Sep-2023 06:35 PM,Rejected-Finance,L4,03-Oct-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,370772.0,Sanjeev,11-Sep-2023 07:24 PM,Rejected-Finance,L3,03-Oct-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,E-mail address and Contact Number of the Contractor/Firm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
