Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,PWD,PW-RD-CB-Tender-22-3445-3544 dt.16.06.23,2023_PWD_76146_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,C O Link road from Gumma Crusher to Village Tikkari k.m. 0.0 to 2.500,"S.H Widening of narrow reaches at R.D. 1.090 to 1.125,B Wall in R/R masonry at R.D. 1.255 to 1.267 and R Wall at R.D. 1.255 to 1.267",Please refer Tender documents. ,NA ,"9,30,795",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,EE HPPWD ROHRU,EE HPPWD ROHRU,20-Jul-2023 06:00 PM,28-Jul-2023 11:00 AM,20-Jul-2023 06:00 PM,27-Jul-2023 06:00 PM,NA ,NA ,20-Jul-2023 06:00 PM,27-Jul-2023 06:00 PM,19-Aug-2023 03:00 PM,1.0,ICICI BANK,"18,700",No,fixed,,Nil,Nil,PWD,2023_PWD_76146_6,PW-RD-CB-Tender-22-3445-3544 dt.16.06.23,C O Link road from Gumma Crusher to Village Tikkari k.m. 0.0 to 2.500,Er. Rahul Sood,Internal,"Er. C.L.AZad, Naveen , RP Sharma, Vijay Dhauta",Chuni Lal Azad,19-Aug-2023 02:55 PM,19-Aug-2023 03:00 PM,techsummary_113978.pdf (416.05 KB),ER. Prash Chauhan,Internal,Er. Satish,Chuni Lal Azad,05-Oct-2023 06:44 PM,finsummary_113978.pdf (383.21 KB),18-Oct-2023,"INR 972,356",60.0,Chuni Lal Azad,18-Oct-2023 04:20 PM,corr.pdf (329.00 KB),AOC,1.0,361736.0,JAI PRAKASH,25-Jul-2023 02:12 PM,Rejected-Finance,2nd lowest,05-Oct-2023,Technical,Summery,Chuni Lal Azad,31-Jul-2023 12:23 PM,technical_113978.pdf,1.0,361733.0,subhash chand Govt Contractor,INR,"972,795",Finance,Summery,Duni Chand Chauhan,19-Aug-2023 03:55 PM,finance_113978.pdf,BOQ Comparative Chart
,,.pdf,Earnest money under general rule 24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,361733.0,subhash chand Govt Contractor,27-Jul-2023 01:03 PM,Accepted-AOC,AOC,18-Oct-2023,,,,,,,,,,,,,,,,
,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that information furnished with the bid is correct in all respect as General rule No. 12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Other important doucments as specified by the stat e in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Permanent Account number as per general rule 1.2B(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,From 8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
