EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"4,09,200",No,fixed,,Nil,Nil,Er. Mohinder Singh,Executive Engineer Killar Division HPPWD Killar,02-May-2023 10:00 AM,10-May-2023 10:30 AM,02-May-2023 10:00 AM,09-May-2023 05:00 PM,NA ,NA ,02-May-2023 10:00 AM,09-May-2023 05:00 PM,20-May-2023 12:30 PM,"5,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD/Bid Security through online mode.",PWD,PW-KD-CB-GA-Tender/23-941-1040 Dt. 27.04.2023,2023_PWD_72607_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,Construction of ITI Building at Killar,SH Construction of Balance work for Block A and Block B including water supply and sanitary installation,As refer to bid document ,NA ,"2,04,56,319",Civil Works - Buildings,NA ,Tender,90.0,548.0,Killar,176323.0,NA ,NA ,NA ,Killar,No ,No,ER Mohinder Thakur EE,Internal,DAO HDM Sr Assitt,Vishal Chopra,19-May-2023 03:05 PM,20-May-2023 12:30 PM,techsummary_109199.pdf (339.84 KB),PWD,2023_PWD_72607_1,PW-KD-CB-GA-Tender/23-941-1040 Dt. 27.04.2023,Construction of ITI Building at Killar,10-Oct-2023,"INR 20,456,319",548.0,Bahadur Chand Negi,12-Oct-2023 02:50 PM,awartletteriti.pdf (4854.00 KB),Award Letter,Er. B.C. Negi,Internal,As per summary attached,Bahadur Chand Negi,09-Oct-2023 11:56 AM,finsummary_109199.pdf (627.32 KB),Finance,Financial Bid Opening Summary,Bahadur Chand Negi,09-Oct-2023 11:53 AM,finance_109199.pdf,BOQ Comparative Chart,1.0,345628.0,MANGAL CHAND THAKUR,INR,"21,474,418",1.0,345628.0,MANGAL CHAND THAKUR,09-May-2023 01:21 PM,Accepted-AOC,"Being a lowest bidder,the work has been awarded",12-Oct-2023,Technical,Construction of ITI Building at Killar,Vishal Chopra,19-May-2023 02:52 PM,technical_109199.pdf
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Registration/Enlistment with H.P.P.W.D. Deptt. as per general rule No.23.,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,345997.0,RAJINDER KUMAR,08-May-2023 04:55 PM,Rejected-Finance,Being a second lowest,09-Oct-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of PAN and TIN and Income Tax clearance certificate.,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of work done certificate at least one civil work of 40 percent of the estimated value,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of work in hand,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five year (Ref. General Rule 26.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of GST as per general rule-21.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/firm may like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form of bid as specified in Section-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
