Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
EE Division HPPWD Thalout,Executive Engineer HPPWD Division Thalout,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,"5,000",Nil,Nil,No,"Repair and maintenance of Kenchi Mod to Rest house Pandoh km 0/0 to 2/500 to connect the NH-003 (SH- P/L GSB, WMM, 50 mm DBM and 30 mm B.C. in km 0/0 to 2/500).","Repair and maintenance of Kenchi Mod to Rest house Pandoh km 0/0 to 2/500 to connect the NH-003 (SH- P/L GSB, WMM, 50 mm DBM and 30 mm B.C. in km 0/0 to 2/500).",Please refer Tender documents. ,NA ,"1,58,73,813",Civil Works,NA ,Tender,120.0,30.0,Pandoh,175124.0,NA ,NA ,NA ,EE Division HPPWD Thalout,No ,No,29-Sep-2023 05:00 PM,05-Oct-2023 11:30 AM,29-Sep-2023 05:00 PM,05-Oct-2023 10:00 AM,NA ,NA ,29-Sep-2023 05:00 PM,05-Oct-2023 10:00 AM,07-Oct-2023 11:45 AM,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,"3,18,000",Yes,fixed,,Nil,Nil,PWD,PW/TLD/AB/Tender/2022- 7044-7053 dt. 26.09.2023,2023_PWD_79532_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Finance,Summary,Suresh Kaushal,13-Oct-2023 03:00 PM,,BOQ Comparative Chart,1.0,375905.0,AJAY PATHANIA,INR,"16,508,765",1.0,375905.0,AJAY PATHANIA,04-Oct-2023 05:05 PM,Accepted-AOC,L1,25-Oct-2023,Technical,Detail attached.,Ajay kumar sood,07-Oct-2023 11:34 AM,technical_118528.pdf,Er. V.K. Sharma EE,Internal,1. Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Sh. Amit Nagar DAO 4. Er. Praveen Talwar AE,Ajay kumar sood,07-Oct-2023 11:41 AM,07-Oct-2023 11:45 AM,techsummary_118528.pdf (229.86 KB),PWD,2023_PWD_79532_1,PW/TLD/AB/Tender/2022- 7044-7053 dt. 26.09.2023,"Repair and maintenance of Kenchi Mod to Rest house Pandoh km 0/0 to 2/500 to connect the NH-003 (SH- P/L GSB, WMM, 50 mm DBM and 30 mm B.C. in km 0/0 to 2/500).",25-Oct-2023,"INR 16,508,765",30.0,Ajay kumar sood,25-Oct-2023 04:49 PM,AOCKenchimodetoRestHouse.pdf (263.00 KB),Work awarded to contractor vide this office letter No. 8511-20 dated 17/10/2023.,Er. V.K. Sharma EE,Internal,1. Sh. Keshav Ram Supdtt 2. Sh. Jagdish Thakur DHD 3. Sh. Amit Naggar DAO 4. Sh. Praveen Kumar AE,Ajay kumar sood,25-Oct-2023 04:41 PM,finsummary_118528.pdf (113.79 KB)
,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,376017.0,SANDEEP KUMAR SHARMA,04-Oct-2023 10:25 PM,Rejected-Finance,L2,25-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Work done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
