Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Fee/PreQual/Technical,.pdf,certificate of registration with JSV or any other govt./semi govt. departments/autonomous body,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",EE-JSD-RMP-E-TEN/23-2943-93DT. 15.6.23,2023_HPIPH_75012_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"5,32,489",No,fixed,,EE Rampur,Rampur,1.0,ICICI BANK,"2,500",EE Rampur,Rampur,No,15-Jun-2023 05:00 PM,27-Jun-2023 10:00 AM,15-Jun-2023 05:00 PM,26-Jun-2023 05:00 PM,NA ,NA ,15-Jun-2023 05:00 PM,26-Jun-2023 05:00 PM,25-Jul-2023 04:30 PM,1.0,Corrigendum,Date,,Executive Engineer,JSD Rampur,Prov. Gravity water supply scheme to mahatma Gandhi Govt.Engineering collage Kotla in gp jeori tehsil rampur,Prov. Gravity water supply scheme to mahatma Gandhi Govt.Engineering collage Kotla in gp jeori tehsil rampur,Please refer Tender documents. ,NA ,"4,99,98,911",Civil Works,NA ,Tender,120.0,365.0,Kotla,172001.0,NA ,NA ,NA ,Rampur,No ,No,EE RAMPUR,Internal,OFFICE ORDER,Rasbir Singh Negi,31-Oct-2023 03:24 PM,finsummary_112371.pdf (357.42 KB),"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",2023_HPIPH_75012_1,EE-JSD-RMP-E-TEN/23-2943-93DT. 15.6.23,Prov. Gravity water supply scheme to mahatma Gandhi Govt.Engineering collage Kotla in gp jeori tehsil rampur,1.0,356189.0,Jia Lal Kapatia,INR,"38,749,355",SE Reckong-peo,Internal,"EE(D) EE(R) AE(D) CHD, JE, Clerk",Rasbir Singh Negi,25-Jul-2023 04:26 PM,25-Jul-2023 04:30 PM,techsummary_112371.pdf (4278.34 KB),1,356201,AJAY MEHTA,26-Jun-2023 02:12 PM,Rejected-Technical,rejected,25-Jul-2023,Finance,as approved the tech bids the fin bids of all qualify bidders have been opened and than download by the tender opening committee,Rasbir Singh Negi,31-Oct-2023 03:15 PM,finance_112371.pdf,BOQ Comparative Chart,Technical,10 nos online bids recevied and all docuements form bidders cover have been downloaded for scrutiny by the tender opening committee,Rasbir Singh Negi,25-Jul-2023 04:23 PM,technical_112371.pdf,31-Oct-2023,"INR 38,749,355",365.0,Rasbir Singh Negi,31-Oct-2023 03:29 PM,AOCkotla.pdf (831.00 KB),The bid of sh. Jia Lal Kapatia was L-1 hence the work has been awarded to him asper uploaded award work
,,.pdf,Earnest money and Cost of form through online mode or offline mode only,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,356102,Anurag Deep,22-Jun-2023 05:16 PM,Rejected-Finance,Rejected,31-Oct-2023,,,,,,,,,,,,,,,,,,
,,.pdf,experience of having sucessfuly complted similar works during the last 7 year as per NIT S. no. 2(d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,356015,DEEPAK MEHTA GOVT.CONTRACTOR,23-Jun-2023 04:40 PM,Rejected-Technical,Rejected,25-Jul-2023,,,,,,,,,,,,,,,,,,
,,.pdf,"Copy of PAN , EPF and GST Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,355824,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,23-Jun-2023 12:59 PM,Rejected-Finance,Rejected,31-Oct-2023,,,,,,,,,,,,,,,,,,
,,.pdf,authroizaiton letter regarding DSC of the person authorized by the registered tenderer upload bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,356189,Jia Lal Kapatia,26-Jun-2023 01:26 PM,Accepted-AOC,accepted,31-Oct-2023,,,,,,,,,,,,,,,,,,
,,.pdf,"undertaking regarding studying all terms and condtions IN FORM pwd 6 ,8,12 and SOQ as per NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,356229,MNBN Enterprises,25-Jun-2023 10:07 PM,Rejected-Finance,Rejected,31-Oct-2023,,,,,,,,,,,,,,,,,,
,,.pdf,Scanned copy of latest income tax clearance certificate duly issued by the competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,356145,MS Kamal Dev Sharma,25-Jun-2023 09:24 PM,Rejected-Finance,Rejected,31-Oct-2023,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,356235,Shashank Jagota Govt. Contractor,26-Jun-2023 04:50 PM,Rejected-Finance,Rejected,31-Oct-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,355958,SS RANA CONSTRUCTION PRIVATE LIMITED,23-Jun-2023 02:32 PM,Rejected-Finance,Rejected,31-Oct-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,356467,Tek Singh Raghav,26-Jun-2023 03:20 PM,Rejected-Technical,rejected,25-Jul-2023,,,,,,,,,,,,,,,,,,
