S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,DD - Demand Draft,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,F(5)-40/2023-985dt30.08.2023,2023_HPCDP_78214_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"79,500",No,fixed,,"O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JI","C/o Flow Irrigation Scheme Surthi to Thachi at Village Makthothi and Thachi, G.P. Majhoti Tehsil Chachyot, Distt. Mandi (H.P.)","C/o Flow Irrigation Scheme Surthi to Thachi at Village Makthothi and Thachi, G.P. Majhoti Tehsil Chachyot, Distt. Mandi (H.P.)",Please refer Tender documents. ,NA ,"47,77,080",Civil Works - Water Works,NA ,Tender,90.0,365.0,"Village Makthothi, Thachi, G.P. Majhoti Tehsil Ch",175029.0,"O/o District Project Manager, HPCDP (Phase-II), JI ","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).  ",05-Sep-2023 11:00 AM ,"O/o District Project Manager, HPCDP (Phase-II), JI",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).",30-Aug-2023 06:00 PM,12-Sep-2023 11:00 AM,30-Aug-2023 06:00 PM,11-Sep-2023 05:00 PM,NA ,NA ,30-Aug-2023 06:00 PM,11-Sep-2023 05:00 PM,18-Sep-2023 10:40 AM,"1,500",EE Dodrakawar,Rohru/Dodrakawar,No,07-Oct-2023,"INR 5,964,591",365.0,Sonal Gupta,07-Oct-2023 03:20 PM,Surthi.pdf (1733.00 KB),Letter of Acceptance,Technical,Technical Evaluation,Sonal Gupta,18-Sep-2023 10:25 AM,technical_116688.pdf,Finance,Finnacial Evaluation,Sonal Gupta,19-Sep-2023 03:50 PM,finance_116688.pdf,BOQ Comparative Chart,1.0,371176.0,PARAS RAM,11-Sep-2023 12:45 PM,Accepted-AOC,Awareded,07-Oct-2023,Balbir Singh Thakur,Internal,Pawan Kumar Pradeep Kumar Om Prakash Sonal Gupta O.P Chauhan Pradeep Sharma Yoginder Kaushal,Sonal Gupta,18-Sep-2023 10:32 AM,18-Sep-2023 10:40 AM,techsummary_116688.pdf (733.66 KB),Balbir Singh Thakur,Internal,Pawan Kumar Sonal Gupta Anil Aggrawal Pradeep Sharma Yoginder Kaushal,Sonal Gupta,19-Sep-2023 04:06 PM,finsummary_116688.pdf (204.87 KB),1.0,371176.0,PARAS RAM,INR,"5,964,591",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,2023_HPCDP_78214_1,F(5)-40/2023-985dt30.08.2023,"C/o Flow Irrigation Scheme Surthi to Thachi at Village Makthothi and Thachi, G.P. Majhoti Tehsil Chachyot, Distt. Mandi (H.P.)"
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,371195.0,tej ram construction company,11-Sep-2023 02:23 PM,Rejected-Finance,Rejected,19-Sep-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
