S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address
1.0,360427.0,Malhotra Associates,INR,"4,545,385","Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",2023_HIMUD_75968_1,HIMUDA/EDD/W7/510-20,construction of Social Housing Colony at Lohna Distt Kangra,Er Rajni Duggal Executive Engineer (E),Internal,"Sh. ram Krishan AE(E), Sh. Abhishek Thakur Divisional Accountant, Sh. Hans Raj JDM, Miss Reenu JOA(IT)",Ram Krishan,17-Jul-2023 04:52 PM,finsummary_113671.pdf (1407.82 KB),Technical,Bid opening Summary,Ram Krishan,17-Jul-2023 04:03 PM,technical_113671.pdf,Finance,Bid opening Summary,Ram Krishan,17-Jul-2023 04:46 PM,finance_113671.pdf,BOQ Comparative Chart,09-Oct-2023,"INR 6,784,381",545.0,Ram Krishan,17-Oct-2023 10:59 AM,Award.pdf (2337.00 KB),Award of Contract,1.0,360136.0,ARUN KUMAR SHARMA,15-Jul-2023 10:22 AM,Rejected-Finance,Not Lowest Bidder,17-Jul-2023,Er. rajni Duggal Executive Engineer (E),Internal,"Sh. Ram Krishan AE(E), Sh. Abhishek Thakur Divisional Accountant, Sh. Hans Raj JDM, Miss Reenu JOA(IT)",Ram Krishan,17-Jul-2023 04:12 PM,17-Jul-2023 04:15 PM,techsummary_113671.pdf (1298.29 KB),construction of Social Housing Colony at Lohna Distt Kangra,Sub Head Providing Internal EI work to 16 Nos. Cat-I Flats with Parking,Please refer Tender documents. ,NA ,"67,84,381",Electrical Works,NA ,Tender,60.0,545.0,Lohna Palampur,176061.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of Challan (Earnest Money and Cost of Tender As per NIT),"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",HIMUDA/EDD/W7/510-20,2023_HIMUD_75968_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,360",Nil,Nil,Yes,06-Jul-2023 06:00 PM,17-Jul-2023 10:00 AM,07-Jul-2023 10:00 AM,15-Jul-2023 12:00 PM,07-Jul-2023 10:00 AM ,15-Jul-2023 12:00 PM ,07-Jul-2023 10:00 AM,15-Jul-2023 12:00 PM,17-Jul-2023 04:15 PM,"1,35,700",Yes,fixed,,Nil,Nil,Executive Engineer Electrical,HIMUDA Electrical Division Dharamshala Distt Kangra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,360304.0,Deepak Sood,14-Jul-2023 08:38 PM,Rejected-Finance,Not Lowest Bidder,17-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration/Enlistment/Approval (As per NIT),,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,360395.0,Dhiman Elect-,14-Jul-2023 04:22 PM,Rejected-Finance,Not Lowest Bidder,17-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of license issued by the Chief Electrical Inspector Shimla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,360327.0,JAMWAL ELECTRICAL WORKS,15-Jul-2023 09:46 AM,Rejected-Finance,Not Lowest Bidder,17-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN/TAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,360427.0,Malhotra Associates,14-Jul-2023 06:34 PM,Accepted-AOC,Lowest Bidder,17-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate as per Condition No. 16 of From 6 of Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per formula under Condition No. 26.2(a) and Work in hand detail also attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Integrity Pact submitted by the Bidder as per Form No. 8 Page No. 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
