Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,2023_HPSEB_79123_1,HPSEBL/BED/DB-Tender JOB.21,HPSEBL/BED/DB-Tender JOB.21,1.0,373795.0,Sharma Enterprises,INR,"278,405",Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA,Deepak Verma,19-Oct-2023 11:23 AM,finsummary_117938.pdf (720.48 KB),1.0,374945.0,Dhiman Enterprises,29-Sep-2023 09:46 AM,Rejected-Finance,Rates on higher side,19-Oct-2023,Er. Deepak Verma,Internal,Technical Bid Opening Summery,Deepak Verma,11-Oct-2023 04:17 PM,11-Oct-2023 04:30 PM,techsummary_117938.pdf (680.19 KB),19-Oct-2023,"INR 278,405",45.0,Deepak Verma,19-Oct-2023 11:31 AM,award.pdf (5259.00 KB),Award letter attached,Technical,Technical Bid Opening Summery,Deepak Verma,11-Oct-2023 04:12 PM,technical_117938.pdf,Finance,BOQ summery,Deepak Verma,19-Oct-2023 11:10 AM,finance_117938.pdf,BOQ Comparative Chart,1.0,Extension of time,Date,,"2,798",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender cost and earnest money,HPSEBL/BED/DB-Tender JOB.21,E Tendering on partial turnkey basis for re organisation of 11kv feeder No EPIP4 11kv EPIP5 11kv Baddi and UT feeder emanating from 132 66 33 11kv in Elect Section Jharmajri UESD HPSEBL Barotiwala Name of Scheme Deposit,A Class Electrical License with Chief Electrical Inspector ,NA ,"2,79,804",Electrical Works,11KV HT line ,Tender,180.0,45.0,Baddi,173205.0,NA ,NA ,NA ,Baddi,No ,No,20-Sep-2023 06:00 PM,29-Sep-2023 02:00 PM,21-Sep-2023 09:00 AM,29-Sep-2023 11:00 AM,NA ,NA ,21-Sep-2023 10:00 AM,29-Sep-2023 11:00 AM,11-Oct-2023 04:30 PM,Er. Deepak Verma,"Sr. Executive Engineer, Electrical Division, HPSEBL Baddi",1.0,ICICI BANK,HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB.21,2023_HPSEB_79123_1,Yes,Limited,Turn-key,Works,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No
,,,,,,,,,,,,,,,2.0,374249.0,GLOBAL ENGINEERING,26-Sep-2023 09:45 PM,Rejected-Finance,Rates on higher side,19-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.0,373878.0,M/S AMAN ELECTRICAL AND ENGG WORKS,28-Sep-2023 11:24 AM,Rejected-Finance,Rates on higher side,19-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4.0,373795.0,Sharma Enterprises,24-Sep-2023 03:37 PM,Accepted-AOC,Award,19-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO No/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
