EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
"3,35,481",No,fixed,,EE JSV Division Amb,Amb,"2,500",EE JSV Division Amb,Amb,No,Executive Engineer,Jal Shakti Division Amb,1.0,Fee/PreQual/Technical,.pdf,Earnest money as per invitation of online bids condition No. 3 (i),29-Jul-2021 06:00 PM,12-Aug-2021 12:30 PM,29-Jul-2021 06:00 PM,12-Aug-2021 11:00 AM,29-Jul-2021 06:00 PM ,12-Aug-2021 11:00 AM ,29-Jul-2021 06:00 PM,12-Aug-2021 11:00 AM,21-Sep-2021 12:40 PM,"Engineering, procurement, construction, testing, commissioning, trial run of various components for Providing multi village piped water supply scheme in Gagret Constituency in Gagret Block and Chintpurni constituency in Amb Block in District Una (HP)","(Sub head Providing, Laying, jointing and testing of GMSERW pipe in Rising mains, Supply and Erection of Submersible/ Centrifugal Pumping Machinery including all accessories and Construction of civil works and Running, Operation and Maintenance o",Please refer Tender documents. ,NA ,"3,02,98,056",Civil Works,NA ,Tender,120.0,365.0,Amb,177203.0,Hamirpur  ,"Chief Engineer, (HZ) Jal Shakti Vibhag, Hamirpur ",09-Aug-2021 11:00 AM ,Amb,No ,No,1.0,DD - Demand Draft,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EEJSD Amb-CB-Tender WSS Behar Jaswan,2021_HPIPH_50526_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Dr SK Sharma,Internal,"Er Kartar Singh Bhatia SE (D), Er Arvind Sood SE JC Una, Er. Brahm Dass EE (D), Er Hoshiar Singh EE JSD Amb, Er Vijay Kumar Bansal AE, Smt Shabnam Supdt Gr II Hamirpur zone",Hoshiar Singh,07-Oct-2023 01:02 PM,finsummary_75556.pdf (1954.92 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2021_HPIPH_50526_1,EEJSD Amb-CB-Tender WSS Behar Jaswan,"Engineering, procurement, construction, testing, commissioning, trial run of various components for Providing multi village piped water supply scheme in Gagret Constituency in Gagret Block and Chintpurni constituency in Amb Block in District Una (HP)",1.0,229352.0,malkiat singh govt cont,INR,"29,624,864",07-Oct-2023,"INR 29,624,864",365.0,Hoshiar Singh,07-Oct-2023 01:06 PM,award.pdf (10996.00 KB),award,Technical,summary of pre-qualification bid,Hoshiar Singh,21-Sep-2021 12:36 PM,technical_75556.pdf,Finance,summary,Hoshiar Singh,07-Oct-2023 12:55 PM,finance_75556.pdf,BOQ Comparative Chart,1.0,229443.0,BACHITTAR SINGH AND CO,11-Aug-2021 10:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Sep-2021,Dr S. K Sharma CE (HZ),Internal,"Er K.S Bhatia SE D (H/Z) ,Er. Arvind Sood SE JSC Una , Er. Brahm Dass EE D(HZ), Er. Hoshiar Singh EE JSV D Amb Er. Vijay Kumar AE JSV HZ Smt. Subnam Supdt. WS (HZ)",Hoshiar Singh,21-Sep-2021 12:39 PM,21-Sep-2021 12:40 PM,techsummary_75556.pdf (1680.40 KB)
,,,,,,,,,,,,,,.pdf,Tender Cost as per invitation of online bids condition No. 3 (ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,228916.0,Dogra Construction Company Pvt Ltd,10-Aug-2021 01:35 PM,Rejected-Finance,Due to L2,07-Oct-2023,,,,,,,
,,,,,,,,,,,,,,.pdf,Enlistment as per invitation of online bids condition No. 3 (iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,229395.0,HARJEET SINGH,11-Aug-2021 06:13 PM,Rejected-Finance,Due to L4,07-Oct-2023,,,,,,,
,,,,,,,,,,,,,,.pdf,An average annual Turnover as per invitation of online bids condition No. 3 (vi) (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,229352.0,malkiat singh govt cont,11-Aug-2021 06:15 PM,Accepted-AOC,L1,07-Oct-2023,,,,,,,
,,,,,,,,,,,,,,.pdf,Experience (similar nature work) of as per invitation of online bids cond. No 3 (vi)(b) and (vii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,229424.0,MS Kamal Dev Sharma,11-Aug-2021 08:33 PM,Rejected-Finance,Due to L3,07-Oct-2023,,,,,,,
,,,,,,,,,,,,,,.pdf,PAN No./ GST No. EPF registration as per invitation of online bids condition No. 3 (viii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,229427.0,SUMESH KUMAR,12-Aug-2021 10:41 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Sep-2021,,,,,,,
,,,,,,,,,,,,,,.pdf,Undertaking as per invitation of online bids condition No. 3 (x) and (xi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.0,Finance,.pdf,Form 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
