Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,04-Aug-2022 10:00 AM,11-Aug-2022 11:30 AM,04-Aug-2022 10:00 AM,10-Aug-2022 06:00 PM,NA ,NA ,04-Aug-2022 10:00 AM,10-Aug-2022 06:00 PM,02-Sep-2022 12:00 PM,PWD,EE Dehra Letter No.4207-11 dt. 12.07.2022,2022_PWD_63202_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R and M/O Jawalamukhi to Chambapattan road in Km. 0/00 to 10/565,C/o PCC U-Shape Drain at RD 5/800 to 6/060 Both Side,Please refer to tender documents ,NA ,"7,79,688",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Division Dehra,No ,No,"16,000",No,fixed,,Nil,Nil,Executive Engineer,HPPWD Division Dehra,1.0,ICICI BANK,Finance,Summary,Dinesh Kumar Dhiman,21-Sep-2022 11:24 AM,finance_95418.pdf,BOQ Comparative Chart,1.0,295158.0,NEERAJ SAPEHIA,INR,"633,828",1.0,295065.0,Abhishek,10-Aug-2022 09:19 AM,Rejected-Finance,Highest Bidder,21-Sep-2022,Technical,Summary,Dinesh Kumar Dhiman,02-Sep-2022 10:13 AM,technical_95418.pdf,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,02-Sep-2022 11:07 AM,02-Sep-2022 12:00 PM,techsummary_95418.pdf (633.19 KB),PWD,2022_PWD_63202_1,EE Dehra Letter No.4207-11 dt. 12.07.2022,A/R and M/O Jawalamukhi to Chambapattan road in Km. 0/00 to 10/565,04-Oct-2023,"INR 779,688",30.0,Arun Vashisht,04-Oct-2023 11:53 AM,Award63202_1.pdf (743.00 KB),Work award issued,EE Dehra,Internal,"DHD,Supdt, DAO",Dinesh Kumar Dhiman,21-Sep-2022 11:27 AM,finsummary_95418.pdf (153.14 KB)
,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,295158.0,NEERAJ SAPEHIA,10-Aug-2022 04:32 PM,Accepted-AOC,L1,04-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Copy of GST Registration with copy of Return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,295159.0,Sumit Rana Govt Contract,10-Aug-2022 04:53 PM,Rejected-Finance,Highest Bidder,21-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Detail of existing commentments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Copy of PAN card with IT Return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Copy of registration under EPF with return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
