S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
1.0,369744.0,RAKESH CHAND GOVT. CONTRACTOR,INR,"2,348,639",Finance,SUMMARYATTACHED,Anil Kumar Sharma,17-Oct-2023 03:05 PM,finance_116543.pdf,BOQ Comparative Chart,Technical,SUMMARYATTACHED,Anil Kumar Sharma,11-Sep-2023 04:14 PM,technical_116543.pdf,1.0,369744.0,RAKESH CHAND GOVT. CONTRACTOR,02-Sep-2023 09:23 PM,Accepted-AOC,WORKAWARD,17-Oct-2023,17-Oct-2023,"INR 2,348,639",60.0,Anil Kumar Sharma,17-Oct-2023 03:12 PM,78101AWARD.pdf (2313.00 KB),WORK AWARDED VIT T/O L.NO. 6259-66 DT. 15.09.2023,EXECUTIVEENGINEER,Internal,SUPDT DAO HDM AE,Anil Kumar Sharma,17-Oct-2023 03:08 PM,finsummary_116543.pdf (225.00 KB),EXECUTIVEENGINEER,Internal,AE DAO HDM SUPDT TA,Anil Kumar Sharma,11-Sep-2023 04:15 PM,13-Sep-2023 11:30 AM,techsummary_116543.pdf (1148.14 KB),PWD,2023_PWD_78101_1,5370-77 dt. 24.08.2023,CIVIL WORK,1.0,ICICI BANK,EE,HPPWDDIVISION,PWD,5370-77 dt. 24.08.2023,2023_PWD_78101_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"45,000",No,fixed,,Nil,Nil,CIVIL WORK,HPPWD,Please refer Tender documents. ,NA ,,Civil Works,NA ,Rate Contract,75.0,60.0,DIVISONBHORANJ,177001.0,NA ,NA ,NA ,DIVISONBHORANJ,No ,No,29-Aug-2023 09:00 AM,04-Sep-2023 11:30 AM,29-Aug-2023 09:20 AM,03-Sep-2023 10:30 AM,NA ,NA ,29-Aug-2023 10:00 AM,03-Sep-2023 10:30 AM,13-Sep-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,2.0,369743.0,RAKESH KUMAR,02-Sep-2023 10:01 PM,Rejected-Finance,L2,17-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 23),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TAX CLEARANCE CERTIFICATE",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 7/8 in SBD duly signed by the bidder and witness with complete address,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy the XEN that he does not hold more than two incomplete works in hand,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/firm may like to be provided.,,,,
