Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Executive Engineer,Internal,AssistantEngineerDivisional AccountantAssistantEngineer,Jagtar Singh Thakur,25-Oct-2023 03:33 PM,finsummary_90590.pdf (693.91 KB),25-Oct-2023,"INR 38,554,681",547.0,Jagtar Singh Thakur,25-Oct-2023 03:37 PM,Acceptance.pdf (694.00 KB),Acceptance,PWD,2022_PWD_59903_1,PWJ/CB/TENDER/22/6422-52 Dt 16.04.2022,Construction of Newely Upgraded 50 Beded Civil Hospital at Jawali,Er. J.S Thakur EE,Internal,"AE Jawali,Sat pal Supdt-Gr-II,HDM,Sr. Asstt.",Jagtar Singh Thakur,13-May-2022 03:06 PM,17-May-2022 11:30 AM,techsummary_90590.pdf (213.74 KB),Technical,Proceeding,Jagtar Singh Thakur,13-May-2022 03:04 PM,technical_90590.pdf,1.0,280696.0,Naveen sharma,05-May-2022 03:09 PM,Accepted-AOC,Being Lowest Bidder,25-Oct-2023,1.0,280696.0,Naveen sharma,INR,"38,554,681",Finance,Executive Engineer Assistant Engineer Divisional Accountant,Jagtar Singh Thakur,25-Oct-2023 03:26 PM,finance_90590.pdf,BOQ Comparative Chart,1.0,ICICI BANK,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER HPPWD DIVISION JAWALI,27-Apr-2022 10:00 AM,06-May-2022 11:00 AM,27-Apr-2022 10:00 AM,05-May-2022 04:00 PM,NA ,NA ,27-Apr-2022 10:00 AM,05-May-2022 04:00 PM,17-May-2022 11:30 AM,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,e-Challan Cost of tender and Earnest of Money,Construction of Newely Upgraded 50 Beded Civil Hospital at Jawali,"Construction of Building Portion including Water Supply and Sanitary Installation work, Rain Water Harvesting System, Septic Tank and Soak pit",Please refer Tender documents. ,NA ,"2,76,15,085",Civil Works - Buildings,NA ,Tender,75.0,547.0,JAWALI,176023.0,NA ,NA ,NA ,HPPWD DIVISION JAWALI,No ,No,"5,52,350",No,fixed,,Nil,Nil,PWD,PWJ/CB/TENDER/22/6422-52 Dt 16.04.2022,2022_PWD_59903_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,279969.0,suresh kumar gupta,03-May-2022 11:43 PM,Rejected-Finance,Rejected being not lowest bidder,25-Oct-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No, PAN No, Latest ITR and EPF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, one similar nature work not less than forty percent amount put to tender last five years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery and Technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate last five financial years from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with BID documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
