Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Executive Engineer,Jal Shakti Division Amb,Construction of LWSS Sohari Takoli in Chintpurni Constituency Tehsil Amb Distt. Una (HP),"Sub Head Drilling, Lowering of assembly and Development of 2 Nos Tubewell 120 Mtrs deep at Vill. Chururu Behadi link road (Percussion) and 1 No Tubewell 125 Mtrs Deep at Vill. Chururu (Percussion). (Under Jal Jeevan Mission)",Please refer Tender documents. ,NA ,"53,05,233",Civil Works,NA ,Tender,120.0,60.0,Amb,177203.0,NA ,NA ,NA ,Amb,No ,No,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EE-JSD-Amb-Twell Sohari Takoli,2022_HPIPH_59888_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,26-Apr-2022 05:00 PM,02-May-2022 12:30 PM,26-Apr-2022 06:00 PM,02-May-2022 11:00 AM,NA ,NA ,26-Apr-2022 06:00 PM,02-May-2022 11:00 AM,09-May-2022 10:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIeT condition 1 a (i),800.0,EE JS Division Amb,Amb,No,"85,552",Yes,fixed,,EE JS Division Amb,Amb,Technical,summary cover-1,Hoshiar Singh,07-May-2022 07:30 PM,technical_90578.pdf,Finance,summary,Hoshiar Singh,07-Oct-2023 05:06 PM,finance_90578.pdf,BOQ Comparative Chart,07-Oct-2023,"INR 4,750,825",60.0,Hoshiar Singh,07-Oct-2023 05:13 PM,award.pdf (5808.00 KB),award,1.0,279956.0,M/S. Mast Ram Jaswal And Co.,02-May-2022 09:16 AM,Rejected-Finance,Due to L3,07-Oct-2023,ER. Hoshiar Singh EE,Internal,"Sh.Suresh Kumar Sr. Asstt., Sh. Raj Kumar HDM and Smt. Devinder Kaur Supdt.Gr.II JSV Amb",Hoshiar Singh,07-May-2022 07:37 PM,09-May-2022 10:00 AM,techsummary_90578.pdf (1872.01 KB),Er Arvind SOod,Internal,"Er Naresh Dhiman,EE (D), Er Hoshiar Singh EE JSD Amb, Er Shrikant AE (D), Sh Munish Kumar Sharma CHD, Sh Anil Kumar Supdt Circle Una",Hoshiar Singh,07-Oct-2023 05:10 PM,finsummary_90578.pdf (1156.41 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2022_HPIPH_59888_1,EE-JSD-Amb-Twell Sohari Takoli,Construction of LWSS Sohari Takoli in Chintpurni Constituency Tehsil Amb Distt. Una (HP),1.0,279899.0,popular pipes,INR,"4,750,825"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender as per NIeT condition 1 a (ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,280051.0,M/S Sharma Enterpirses,02-May-2022 08:59 AM,Rejected-Finance,Due to L4,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration as per NIeT condition 1 a (iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,279899.0,popular pipes,29-Apr-2022 06:35 PM,Accepted-AOC,L1,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy PAN GST and EPF as per NIeT condition 1 a (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,280046.0,PRAGATI TOWERS CORPORATION,01-May-2022 08:19 PM,Rejected-Finance,Due to L2,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter DSC as per NIeT condition 1 a (vi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully studied as per NIeT condition 1 a (vii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking labour as per NIeT condition 1 a (viii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
