EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"1,07,700",No,fixed,,Nil,Nil,13-Jun-2023 11:00 AM,21-Jun-2023 11:00 AM,13-Jun-2023 11:00 AM,20-Jun-2023 05:00 PM,NA ,NA ,13-Jun-2023 11:00 AM,20-Jun-2023 05:00 PM,05-Jul-2023 02:00 PM,"5,900",Nil,Nil,No,Construction of RFSL Additional building block at Mandi Distt. Mandi (HP) (balance work),(balance work),Please refer Tender documents. ,NA ,"53,84,121",Civil Works - Buildings,NA ,Tender,120.0,180.0,Mandi,175001.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,Executive Engineer,HPSIDC Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),HP SIDC Limited,Job No. 1,2023_SIDC_74754_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Finance,Financial summary,Sushant Singh Negi,07-Jul-2023 04:29 PM,finance_112048.pdf,BOQ Comparative Chart,1.0,355572.0,Biri SIngh,20-Jun-2023 04:55 PM,Rejected-Finance,Second lowest bidder,07-Jul-2023,Technical,Tender Summary,Sushant Singh Negi,05-Jul-2023 12:10 PM,technical_112048.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,05-Jul-2023 12:20 PM,05-Jul-2023 02:00 PM,techsummary_112048.pdf (481.38 KB),1.0,355390.0,NARENDER BALI,INR,"7,651,706",20-Oct-2023,"INR 7,651,706",180.0,Sushant Singh Negi,26-Oct-2023 03:08 PM,narenderaoc.pdf (3080.00 KB),Award letter,HP SIDC Limited,2023_SIDC_74754_1,Job No. 1,Construction of RFSL Additional building block at Mandi Distt. Mandi (HP) (balance work),SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,07-Jul-2023 04:32 PM,finsummary_112048.pdf (28.77 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,355555.0,DALIP SINGH,20-Jun-2023 01:31 PM,Rejected-Technical,Not qualified in the bid capacity,05-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,3.0,355390.0,NARENDER BALI,20-Jun-2023 11:09 AM,Accepted-AOC,AOC,26-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,4.0,355633.0,PRAHLAD SING NEGI,20-Jun-2023 04:55 PM,Rejected-Finance,Third lowest bidder,07-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,5.0,355469.0,yogesh,20-Jun-2023 08:33 AM,Rejected-Finance,Forth lowest bidder,07-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,complete details of existing commitments / ongoing work in hand in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
