Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
05-Oct-2023,"INR 954,591",60.0,Chuni Lal Azad,05-Oct-2023 06:52 PM,correindendum.pdf (470.00 KB),AOC,Er. Pawan,Internal,Er. C.L. AZDD,Pawan Kumar Garg,28-Oct-2022 04:57 PM,finsummary_94218.pdf (220.01 KB),PAWAN KUMAR,Internal,"Er. C.L. Azad, Ranvir Chauhan and Sanjay Thakur",Duni Chand Chauhan,28-Jul-2022 06:44 PM,29-Jul-2022 10:00 AM,techsummary_94218.pdf (389.43 KB),PWD,2022_PWD_62481_6,PW-RD-CB-Tender/22-3688-3787 dt.30.05.22,C O Dhamwari to Goakswari road Km. 0.0 to 5.300,Finance,Summery,Pawan Kumar Garg,29-Jul-2022 05:48 PM,,BOQ Comparative Chart,1.0,292410.0,ALI MOHAMMAD,INR,"954,591",Technical,Summery,Duni Chand Chauhan,28-Jul-2022 06:18 PM,technical_94218.pdf,1.0,292410.0,ALI MOHAMMAD,22-Jul-2022 03:41 PM,Accepted-AOC,AOC,05-Oct-2023,"19,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,PW-RD-CB-Tender/22-3688-3787 dt.30.05.22,2022_PWD_62481_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,E E HPPWD ROHRU,EE HPPWD ROHRU,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,C O Dhamwari to Goakswari road Km. 0.0 to 5.300,Providing Kharanja stone soling at Rd. 1.300 to 1.800,Please refer Tender documents. ,NA ,"9,54,591",Civil Works - Roads,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,ROHRU,No ,No,14-Jul-2022 06:00 PM,25-Jul-2022 11:00 AM,14-Jul-2022 06:00 PM,23-Jul-2022 06:00 PM,NA ,NA ,14-Jul-2022 06:00 PM,23-Jul-2022 06:00 PM,29-Jul-2022 10:00 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,292415.0,Mohmad Zakir Husain,22-Jul-2022 03:59 PM,Rejected-Finance,2nd lowest,28-Oct-2022,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,
