Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,XEN HP.PWD SARAHAN,HPPWD SARAHAN,350.0,Nil,Nil,No,R/R damages on Ghargaon to dagother via Ganyana Nali road Km 0/00 to 5/00 (SH C/O B/Wall at RD 0/630 to 0/670) ),R/R damages on Ghargaon to dagother via Ganyana Nali road Km 0/00 to 5/00 (SH C/O B/Wall at RD 0/630 to 0/670) ),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,120.0,HPPWD Sarahan,173024.0,NA ,NA ,NA ,HPPWD Division Sarahan Sirmour,No ,No,1.0,ICICI BANK,"13,800",No,fixed,,Nil,Nil,PWD,PW/SRN/CB/Tender/--3740dated 19-08-2023,2023_PWD_77892_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,23-Aug-2023 12:20 PM,01-Sep-2023 11:30 AM,23-Aug-2023 12:25 PM,01-Sep-2023 10:30 AM,23-Aug-2023 12:30 PM ,01-Sep-2023 10:00 AM ,23-Aug-2023 12:30 PM,01-Sep-2023 10:30 AM,02-Sep-2023 12:45 PM,Er Daleep Singh Kaundal,Internal,"Rajiv Sharma Supdt Gr-ii, PawanKumar Sr. Asstt, NeelamKumari JDM",Jai Lal Kanta,02-Sep-2023 12:33 PM,02-Sep-2023 12:45 PM,techsummary_116292.pdf (350.25 KB),PWD,2023_PWD_77892_9,PW/SRN/CB/Tender/--3740dated 19-08-2023,R/R damages on Ghargaon to dagother via Ganyana Nali road Km 0/00 to 5/00 (SH C/O B/Wall at RD 0/630 to 0/670) ),19-Oct-2023,"INR 508,418",90.0,Jai Lal Kanta,29-Jan-2024 02:42 PM,79892_9.pdf (1190.00 KB),AOC,Er Daleep Singh Kaundal,Internal,"Rajiv Sharma Supdt Gr-ii, PawanKumar Sr. Asstt, NeelamKumari JDM",Jai Lal Kanta,12-Sep-2023 04:38 PM,finsummary_116292.pdf (128.07 KB),1.0,369342.0,SANDEEP DUTT SHARMA,INR,"508,418",Finance,sUMMARY,Jai Lal Kanta,12-Sep-2023 03:33 PM,finance_116292.pdf,BOQ Comparative Chart,1.0,369326.0,GANPATI SHUB ENTERPRISES,31-Aug-2023 05:56 PM,Rejected-Finance,L4,12-Sep-2023,Technical,Summary,Jai Lal Kanta,02-Sep-2023 12:12 PM,technical_116292.pdf
,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,369382.0,Harish kumar,01-Sep-2023 08:12 AM,Rejected-Finance,L2,12-Sep-2023,,,,,
,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,369270.0,Jagmohan Singh,31-Aug-2023 12:42 PM,Rejected-Finance,L3,12-Sep-2023,,,,,
,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,369342.0,SANDEEP DUTT SHARMA,31-Aug-2023 06:40 PM,Accepted-AOC,Awarded,30-Jan-2024,,,,,
,,.pdf,THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS CONDITIONS CONTRACT CLAUSES Refer Gener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,LIST OF MACHINERY TOOL PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
