Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
23-Mar-2023 09:00 AM,04-Apr-2023 11:30 AM,23-Mar-2023 09:00 AM,04-Apr-2023 11:00 AM,NA ,NA ,23-Mar-2023 09:00 AM,04-Apr-2023 11:00 AM,04-May-2023 12:50 PM,800.0,Nil,Nil,No,"90,997",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form,Providing LWSS from Bhon Khad to HB Bhon in Tehsil Kotkhai Distt Shimla HP,Providing LWSS from Bhon Khad to HB Bhon in Tehsil Kotkhai Distt Shimla HP,Please refer Tender documents. ,NA ,"58,49,772",Civil Works,Civil and pipe line work ,Tender,120.0,365.0,Gumma,171202.0,NA ,NA ,NA ,JSV Division Jubbal,No ,No,Executive Engineer,JSV Division Jubbal,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",JBL-SML-09-718,2023_HPIPH_71445_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,SE Rohru,Internal,PA AED EEJ EED,BODHBERDHAN GUPTA,04-May-2023 12:45 PM,04-May-2023 12:50 PM,techsummary_107538.pdf (578.63 KB),1.0,340295.0,Arpit Singh Rathore,03-Apr-2023 04:43 PM,Rejected-Finance,L-2,24-May-2023,Finance,Financial Summary attached,BODHBERDHAN GUPTA,04-May-2023 03:27 PM,finance_107538.pdf,BOQ Comparative Chart,Technical,Technical Summary attached,BODHBERDHAN GUPTA,04-May-2023 12:41 PM,technical_107538.pdf,19-Oct-2023,"INR 5,849,722",365.0,AJEET KUMAR NEGI,19-Oct-2023 12:40 PM,198.pdf (677.00 KB),Work Awarded to Sh. Rupinder Justa Contractor vide this office letter No. 2910-13 dated 15/07/2023 (Agg No. 141 for 2023-24),SE Rohru,Internal,CHD AED EED EEJ,BODHBERDHAN GUPTA,24-May-2023 03:37 PM,finsummary_107538.pdf (192.58 KB),"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",2023_HPIPH_71445_3,JBL-SML-09-718,Providing LWSS from Bhon Khad to HB Bhon in Tehsil Kotkhai Distt Shimla HP,1.0,340310.0,rupinder justa govt contractor,INR,"4,241,778"
,,,,,,,,,,,,,,,,,,,,,.pdf,EMD or exemption with affidavit of balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,2.0,340361.0,CHATTER SINGH RATHORE,04-Apr-2023 10:47 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,PAN GST EPF and ITR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340327.0,HEM LATA,03-Apr-2023 11:22 PM,Rejected-Finance,L-3,24-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit as per NIT condition no. iv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,340310.0,rupinder justa govt contractor,03-Apr-2023 06:04 PM,Accepted-AOC,Lowest Bidder,19-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of form_8 page_1 and page_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,340363.0,Vikram Rithwan Contractor,04-Apr-2023 10:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no near relative of bidder is working in JSV Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that bidder is not a black listed contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that bidder is not holding more than two pending works with non satisfactory performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Working experience dealership or sub dealership certificate with required curve chart duly calculat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,SOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
