Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
EE,Internal,TA SUPDT DAO HDM AE,Anil Kumar Sharma,06-Jul-2023 12:26 PM,finsummary_111215.pdf (1446.11 KB),25-Oct-2023,"INR 4,222,911",180.0,Anil Kumar Sharma,25-Oct-2023 05:15 PM,74073AWARD.pdf (1258.00 KB),AWARDED TO SH. SOURABH PATHANIA VIDE THIS OFFICE LETTER NO. 2698-2706 DT. 21.06.2023,PWD,2023_PWD_74073_1,1216-23 dt. 19.05.2023,C/O LINK ROAD WORK,EXECUTIVEENGINEER,Internal,SUPDT DAO HDM AE TA,Anil Kumar Sharma,08-Jun-2023 08:43 PM,09-Jun-2023 11:30 AM,techsummary_111215.pdf (1446.11 KB),Finance,SUMMARYATTACHED,Anil Kumar Sharma,06-Jul-2023 12:23 PM,finance_111215.pdf,BOQ Comparative Chart,1.0,351480.0,Sourabh Pathania Govt Contractor,INR,"4,222,911",Technical,SUMMARYATTACHED,Anil Kumar Sharma,08-Jun-2023 08:32 PM,technical_111215.pdf,1.0,351497.0,Deepak Raj Sharma,03-Jun-2023 08:37 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Jun-2023,"83,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,29-May-2023 09:15 AM,03-Jun-2023 11:30 AM,29-May-2023 10:00 AM,03-Jun-2023 10:30 AM,NA ,NA ,29-May-2023 10:25 AM,03-Jun-2023 10:30 AM,09-Jun-2023 11:30 AM,"2,000",Nil,Nil,No,PWD,1216-23 dt. 19.05.2023,2023_PWD_74073_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,C/O LINK ROAD WORK,C/O LINK ROAD TOWN,Please refer Tender documents. ,NA ,"49,68,131",Civil Works,NA ,Tender,60.0,180.0,DIVSION OFFICE,100000.0,NA ,NA ,NA ,DIVISIONBORANJ,No ,No,EE,EEHPPWD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351480.0,Sourabh Pathania Govt Contractor,03-Jun-2023 08:47 AM,Accepted-AOC,WORKAWARD,25-Oct-2023,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,351441.0,Sureshkumar,03-Jun-2023 09:18 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Jun-2023,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TAX CLEARANCE CERTIFICATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,351518.0,Vijay Kumar,03-Jun-2023 09:11 AM,Rejected-Finance,REJECTED,06-Jul-2023,,,,,,,,,,,.pdf,Work done certificate during last five year duly signed by Engineer-in-Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of Machinery as per SBD with proof RC, Affidavit/ lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contractor should not more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
