Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
400.0,EE JS Division Amb,Amb,No,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EE-JSD-Amb-T/well Duhal and Behar Jaswan,2022_HPIPH_65481_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,26-Sep-2022 09:00 AM,01-Oct-2022 12:30 PM,26-Sep-2022 09:00 AM,01-Oct-2022 11:00 AM,NA ,NA ,26-Sep-2022 09:00 AM,01-Oct-2022 11:00 AM,07-Oct-2022 04:35 PM,C/O LWSS Duhal Bhatwalan in Chintpurni Constituency Tehsil Amb Distt. Una (HP),"Sub- Head Drilling, Lowering of assembly and Development of 2 Nos Tubewell 90 Mtrs deep at Vill. LWSS Duhal Bhatwalan and 1 No Tubewell 90 Mtrs Deep 175 mm dia at LWSS Behar Bhater in Tehsil Amb Distt. Una (HP) (Under Jal Jeevan Mission)",Please refer Tender documents. ,NA ,"23,31,613",Civil Works,NA ,Tender,120.0,60.0,Amb,177203.0,NA ,NA ,NA ,Amb,No ,No,"42,475",Yes,fixed,,EE JS Division Amb,Amb,Executive Engineer,Jal Shakti Division Amb,1.0,Fee/PreQual/Technical,.pdf,The Earnest Money as NIT condition No. 1 a (i),Er Hoshiar Singh EE,Internal,"DAO, HDM,Supdt amb",Hoshiar Singh,07-Oct-2023 07:56 PM,finsummary_98583.pdf (177.63 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2022_HPIPH_65481_1,EE-JSD-Amb-T/well Duhal and Behar Jaswan,C/O LWSS Duhal Bhatwalan in Chintpurni Constituency Tehsil Amb Distt. Una (HP),1.0,305393.0,HIMANSHU CHAUHAN,INR,"2,301,380",1.0,305393.0,HIMANSHU CHAUHAN,01-Oct-2022 10:10 AM,Accepted-AOC,L1,07-Oct-2023,ER HOSHIAR SINGH EE,Internal,"Smt. Devinder Kaur Supdt , Sh. Dinesh Kumar DAO and Raj Kumar HDM",Hoshiar Singh,07-Oct-2022 04:30 PM,07-Oct-2022 04:35 PM,techsummary_98583.pdf (477.78 KB),Technical,summary,Hoshiar Singh,07-Oct-2022 04:25 PM,technical_98583.pdf,Finance,summary,Hoshiar Singh,07-Oct-2023 07:52 PM,finance_98583.pdf,BOQ Comparative Chart,07-Oct-2023,"INR 2,301,380",90.0,Hoshiar Singh,07-Oct-2023 08:05 PM,awrd_1.pdf (3369.00 KB),award
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of bid as NIT condition No. 1 a (ii),,,,,,,,,,,,,,,,2.0,305315.0,M/S. Mast Ram Jaswal And Co.,30-Sep-2022 09:33 PM,Rejected-Finance,Due to L2,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with HP Jal Shakti Vibhag. as NIT condition No. 1 a (iiI),,,,,,,,,,,,,,,,3.0,305376.0,PRAGATI TOWERS CORPORATION,01-Oct-2022 07:16 AM,Rejected-Finance,Due to L3,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of bid as NIT condition No. 1 a (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) as NIT condition No. 1 a (vi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking reg carefully studied cond. and provisions of Contract Labour as NIT cond.No.1 a (vii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form No. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Schedule of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
