Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description
Er. Rahul Sood,Internal,Er. C.L. Azad . Naveen Chauan Vijay dhauta,Chuni Lal Azad,14-Jun-2023 02:01 PM,14-Jun-2023 02:15 PM,techsummary_110560.pdf (418.96 KB),Technical,summery,Chuni Lal Azad,14-Jun-2023 12:28 PM,technical_110560.pdf,1.0,349619.0,Kapil Chauhan,27-May-2023 10:43 AM,Rejected-Finance,3rd lowest,15-Jul-2023,Finance,Summery,Duni Chand Chauhan,14-Jun-2023 03:57 PM,finance_110560.pdf,BOQ Comparative Chart,Er. Rahul Sood,Internal,C.L. AZAD,Chuni Lal Azad,15-Jul-2023 04:44 PM,finsummary_110560.pdf (692.44 KB),PWD,2023_PWD_73506_19,RD-CB-Teder/23-1596-1695 dated 04.05.23,RR damages to Jaghoti Nallah Andherauthi road km 0.0 to 4.0,05-Oct-2023,"INR 1,211,730",60.0,Chuni Lal Azad,05-Oct-2023 06:12 PM,Summery.pdf (486.00 KB),AOC,1.0,349647.0,RANJEET SINGH,INR,"1,259,384",1.0,ICICI BANK,1.0,Corringendum,Other,,500.0,Nil,Nil,No,"24,500",No,fixed,,Nil,Nil,RR damages to Jaghoti Nallah Andherauthi road km 0.0 to 4.0,SH Improvement of black spot at Rd 3.080 to 3.245 and 2.120 to 2.195,Please refer Tender documents. ,NA ,"12,11,730",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,EE HPPWD ROHRU,EE HPPWD ROHRU,PWD,RD-CB-Teder/23-1596-1695 dated 04.05.23,2023_PWD_73506_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,20-May-2023 06:00 PM,29-May-2023 11:00 AM,20-May-2023 06:00 PM,28-May-2023 06:00 PM,NA ,NA ,20-May-2023 06:00 PM,28-May-2023 06:00 PM,14-Jun-2023 02:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1
,,,,,,,,,,,,2.0,349647.0,RANJEET SINGH,25-May-2023 05:11 PM,Accepted-AOC,AOC,05-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money under general rule 24.2
,,,,,,,,,,,,3.0,349653.0,Ravi Rawat,25-May-2023 05:44 PM,Rejected-Finance,2nd lowest,15-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect as General rule No. 12.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important doucments as specified by the stat e in performa of schedule
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number as per general rule 1.2B(a)(1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From 8 duly signed by contractor
