Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
500.0,Nil,Nil,No,06-Sep-2023 11:00 AM,13-Sep-2023 11:00 AM,06-Sep-2023 11:00 AM,12-Sep-2023 06:00 PM,NA ,NA ,06-Sep-2023 11:00 AM,12-Sep-2023 06:00 PM,16-Sep-2023 03:05 PM,PWD,PW-KD-E-Tender/2023-24-2870-74 dtd 02-09-2023,2023_PWD_78468_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD DIVISION KOTKHAI,"R/R Damages on Kuri Khadyana Halai road in K.M. 0/00 to 5/100, C/o, R/Wall at R.D. 0/320 to 0/348 and 3/140 to 3/167.50","R/R Damages on Kuri Khadyana Halai road in K.M. 0/00 to 5/100, C/o, R/Wall at R.D. 0/320 to 0/348 and 3/140 to 3/167.50",Please refer Tender documents. ,NA ,"24,52,588",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"49,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,Finance,summary uploaded,Vinod Shyam,22-Sep-2023 04:02 PM,finance_117110.pdf,BOQ Comparative Chart,1.0,370784.0,DEEPAK DHARMAIK,08-Sep-2023 06:41 PM,Rejected-Finance,L2 BIDDER,22-Sep-2023,Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,16-Sep-2023 03:01 PM,16-Sep-2023 03:05 PM,techsummary_117110.pdf (8509.50 KB),Technical,summary uploaded,Vinod Shyam,16-Sep-2023 03:00 PM,technical_117110.pdf,1.0,370777.0,RAJIV GANGTA GOVT. CONTRACTOR,INR,"2,462,784",12-Oct-2023,"INR 2,452,588",45.0,Vinod Shyam,12-Oct-2023 02:34 PM,6.pdf (725.00 KB),PWD,2023_PWD_78468_12,PW-KD-E-Tender/2023-24-2870-74 dtd 02-09-2023,"R/R Damages on Kuri Khadyana Halai road in K.M. 0/00 to 5/100, C/o, R/Wall at R.D. 0/320 to 0/348 and 3/140 to 3/167.50",Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,22-Sep-2023 04:04 PM,finsummary_117110.pdf (184.23 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,370777.0,RAJIV GANGTA GOVT. CONTRACTOR,08-Sep-2023 06:21 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,12-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
