Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description
ER HOSHIAR SINGH EE,Internal,"SH. MOHINDER SINGH DAO, RAJ KUMAR HDM AND DEVINDER KAUR SUPDT.GR.II JS DIVISION AMB",Hoshiar Singh,11-Mar-2022 10:21 AM,11-Mar-2022 10:25 AM,techsummary_86315.pdf (504.83 KB),1.0,268930.0,HIMANSHU CHAUHAN,10-Mar-2022 10:44 AM,Accepted-AOC,L1,07-Oct-2023,07-Oct-2023,"INR 1,601,910",90.0,Hoshiar Singh,07-Oct-2023 02:32 PM,award.pdf (3252.00 KB),award,Finance,summary cover _II,Hoshiar Singh,11-Mar-2022 11:00 AM,finance_86315.pdf,BOQ Comparative Chart,Technical,Prequalification bid,Hoshiar Singh,11-Mar-2022 10:18 AM,technical_86315.pdf,1.0,268930.0,HIMANSHU CHAUHAN,INR,"1,601,910","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2022_HPIPH_57178_1,EE-JSD-Amb-Twell No 56 Bhaira,"Providing CAD of Tubewell at Dhusara,Satothar-2nd, Tubewell at Barera Dathwara and Tubewell at Dhamandri in Distt. Una (HP)",ER HOSHIAR SINGH EE,Internal,"Sh. Mohinder Pal Sr. DAO , Smt.Devinder Kaur Supdt.Gr.II and Sh. Raj Kumar HDM",Hoshiar Singh,11-Mar-2022 11:03 AM,finsummary_86315.pdf (227.88 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EE-JSD-Amb-Twell No 56 Bhaira,2022_HPIPH_57178_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Providing CAD of Tubewell at Dhusara,Satothar-2nd, Tubewell at Barera Dathwara and Tubewell at Dhamandri in Distt. Una (HP)","Sub Head Drilling, Lowering of Assembly and Development of Tubewell 125 Mtrs. Deep in place of defunct Tubewell at Satothar-2nd (T/Well No 56 Bhaira) under correction in system deficiency.",Please refer Tender documents. ,NA ,"17,85,457",Civil Works,NA ,Tender,120.0,90.0,Amb,177203.0,NA ,NA ,NA ,Amb,No ,No,400.0,EE JS Division Amb,Amb,No,1.0,ICICI BANK,Executive Engineer,Jal Shakti Division Amb,"35,709",No,fixed,,EE JS Division Amb,Amb,24-Feb-2022 05:00 PM,10-Mar-2022 12:30 PM,24-Feb-2022 06:00 PM,10-Mar-2022 11:00 AM,NA ,NA ,24-Feb-2022 06:00 PM,10-Mar-2022 11:00 AM,11-Mar-2022 10:25 AM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIeT condition 1 (i)
,,,,,,,2.0,268473.0,H.N.SINGH AND COMPANY,10-Mar-2022 10:49 AM,Rejected-Finance,due to L3,11-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender as per NIeT condition 1 (ii)
,,,,,,,3.0,268733.0,M/S. Mast Ram Jaswal And Co.,10-Mar-2022 10:20 AM,Rejected-Finance,due to L2,11-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration as per NIeT condition 1 (iii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy PAN GST and EPF as per NIeT condition 1 (v)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter DSC as per NIeT condition 1 (vi)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per NIeT condition 1 (vii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per NIeT condition 1 (viii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Terms and conditions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Schedule of qantities
