Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Er.Arvind Kumar Bhardwaj E.E,Internal,"Jia Lal, Head Draughhtsan",Arvind Kumar Bhardwaj,06-Oct-2023 10:50 AM,finsummary_113623.pdf (401.13 KB),21-Oct-2023,"INR 9,945,851",60.0,Arvind Kumar Bhardwaj,04-Dec-2023 01:32 PM,cancellation.pdf (656.00 KB),Cancellation of bid,PWD,2023_PWD_75934_1,THD/CB-tender/2023-3243-57,Construction of Modern Bus Stand at Theog,Er.Arvind Kumar Bhardwaj E.E,Internal,"Sant Ram, Supdt. Gr-II, Vaibhav Jindal, DAO Gr-II, Jia Lal, Head Draughtsman, Leela Verma, Sr. Asstt.",Ajay Gazta,17-Aug-2023 05:45 PM,18-Aug-2023 11:00 AM,techsummary_113623.pdf (1287.12 KB),1.0,360282.0,Brijesh Kanwar,INR,0.0,Finance,Financial Bid Opeing summary,Ajay Gazta,22-Aug-2023 02:38 PM,finance_113623.pdf,BOQ Comparative Chart,Technical,Bid Opening summary,Ajay Gazta,15-Jul-2023 01:46 PM,technical_113623.pdf,1.0,360399.0,AKSHAY DHILLON,14-Jul-2023 03:37 PM,Rejected-Finance,Being higher rates,06-Oct-2023,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,1.0,ICICI BANK,"2,000",Nil,Nil,No,Executive Engineer,"Theog Division, HPPWD Theog",06-Jul-2023 05:00 PM,15-Jul-2023 11:00 AM,06-Jul-2023 05:00 PM,14-Jul-2023 05:00 PM,NA ,NA ,06-Jul-2023 05:00 PM,14-Jul-2023 05:00 PM,18-Aug-2023 11:00 AM,1.0,Corrigendum,Other,,Construction of Modern Bus Stand at Theog,Providing RCCrk and paver block flooring protection wall etc balance work,As per GCC ,NA ,"99,45,851",Civil Works - Roads,NA ,Tender,45.0,60.0,Theog Tehsil Theog District Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,PWD,THD/CB-tender/2023-3243-57,2023_PWD_75934_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,99,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,360282.0,Brijesh Kanwar,13-Jul-2023 07:46 PM,Accepted-AOC,Bid hs been cancelled due to non furnishing the requisite unbalance peformance security,04-Dec-2023,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,360289.0,Niom Infra Private Ltd,14-Jul-2023 04:15 PM,Rejected-Technical,Technically non responsive,17-Aug-2023,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,360372.0,suresh jagta,14-Jul-2023 01:16 PM,Rejected-Finance,Being higher rates,06-Oct-2023,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of C.A showing total annual volume in the last five years ref. clause 26.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
