Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,350.0,Nil,Nil,No,Restoration of rain damages on Santoshi Mata Malander Garthoon road Km 0/0 to 7/0,C/o R/wall in Km 6/010 to 6/025,Please refer Tender documents. ,NA ,"9,23,377",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,06-Sep-2023 10:00 AM,12-Sep-2023 11:30 AM,06-Sep-2023 10:05 AM,12-Sep-2023 11:00 AM,NA ,NA ,06-Sep-2023 10:30 AM,12-Sep-2023 11:00 AM,26-Sep-2023 03:45 PM,PWD,NIT No.7395-7454 DT.01-09-2023-Bhawarna,2023_PWD_78504_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"18,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,1.0,ICICI BANK,Sh. Sanjiv Mahajan,Internal,Anand Katoch AEtoEE Subhash Chand Supdt. Shubham JDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Anand Katoch,26-Sep-2023 03:33 PM,26-Sep-2023 03:45 PM,techsummary_117073.pdf (357.30 KB),PWD,2023_PWD_78504_1,NIT No.7395-7454 DT.01-09-2023-Bhawarna,Restoration of rain damages on Santoshi Mata Malander Garthoon road Km 0/0 to 7/0,03-Oct-2023,"INR 777,945.12",90.0,Sanjiv Mahajan,16-Dec-2023 11:28 AM,AOC.pdf (387.00 KB),AOC,Sh. Sanjiv Mahajan,Internal,,Sanjiv Mahajan,03-Oct-2023 03:19 PM,finsummary_117073.pdf (223.88 KB),1.0,371488.0,banmala chauhan,INR,"777,945",Finance,Summary,Sanjiv Mahajan,03-Oct-2023 03:17 PM,finance_117073.pdf,BOQ Comparative Chart,1.0,371488.0,banmala chauhan,12-Sep-2023 04:07 AM,Accepted-AOC,L1,16-Dec-2023,Technical,Summary,Anand Katoch,26-Sep-2023 03:31 PM,technical_117073.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,371367.0,RAJNISH KUMAR,11-Sep-2023 07:42 PM,Rejected-Finance,L3,03-Oct-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,370964.0,VINOD KUMAR,09-Sep-2023 06:04 PM,Rejected-Finance,L2,03-Oct-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E-mail address and Contact Number of the Contractor/Firm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
