Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Executive Engineer,Jal Shakti Division Amb,26-Sep-2022 09:00 AM,01-Oct-2022 12:30 PM,26-Sep-2022 09:00 AM,01-Oct-2022 11:00 AM,NA ,NA ,26-Sep-2022 09:00 AM,01-Oct-2022 11:00 AM,07-Oct-2022 04:35 PM,"37,288",Yes,fixed,,EE JS Division Amb,Amb,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,The Earnest Money as NIT condition No. 1 a (i),400.0,EE JS Division Amb,Amb,No,Providing and installation of various Water Testing Equipment etc. for divisional Lab at Amb in Distt. Una (HP).,Providing and installation of various Water Testing Equipment etc. for divisional Lab at Amb in Distt. Una (HP).,Please refer Tender documents. ,NA ,"19,85,896",Civil Works,NA ,Tender,120.0,30.0,Amb,177203.0,NA ,NA ,NA ,Amb,No ,No,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EE-JSD-Amb- Lab equipment,2022_HPIPH_65531_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,07-Oct-2023,"INR 1,377,210",60.0,Hoshiar Singh,07-Oct-2023 08:54 PM,award.pdf (3519.00 KB),award,Finance,summary,Hoshiar Singh,07-Oct-2023 08:50 PM,finance_98650.pdf,BOQ Comparative Chart,Technical,summary,Hoshiar Singh,07-Oct-2022 04:23 PM,technical_98650.pdf,ER HOSHIAR SINGH EE,Internal,Smt. Devinder Kumar Supdt Sh. Dinesh Kumar DAO and Raj Kumar HDM,Hoshiar Singh,07-Oct-2022 04:34 PM,07-Oct-2022 04:35 PM,techsummary_98650.pdf (456.40 KB),1.0,305339.0,Helix Technology,30-Sep-2022 09:22 PM,Rejected-Finance,Due to L3,07-Oct-2023,Er Hoshiar Singh EE,Internal,"DAO, HDM,Supdt Gr-II JSV Amb",Hoshiar Singh,07-Oct-2023 08:52 PM,finsummary_98650.pdf (177.63 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2022_HPIPH_65531_1,EE-JSD-Amb- Lab equipment,Providing and installation of various Water Testing Equipment etc. for divisional Lab at Amb in Distt. Una (HP).,1.0,304664.0,Jyoti Trading Company,INR,"1,377,210"
,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of bid as NIT condition No. 1 a (ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,304664.0,Jyoti Trading Company,28-Sep-2022 06:06 PM,Accepted-AOC,L1,07-Oct-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with HP Jal Shakti Vibhag. as NIT condition No. 1 a (iiI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,304755.0,Shri Ram Contractor,28-Sep-2022 06:51 PM,Rejected-Finance,Due to L2,07-Oct-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of bid as NIT condition No. 1 a (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) as NIT condition No. 1 a (vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking reg carefully studied conditions and provisions of Contract Labour as NIT cond.No. 1 a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form No.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.xls,Schedule of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.pdf,Terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
