S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
1.0,362403.0,Akhilesh kumar,INR,0,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_76517_5,1147-1246 dated 19-07-2023,Providing FIS to village Swana in GP Dahan Tehsil Rajgarh Distt. Sirmour,Executive Enginner,Internal,DA HDM SUPTD,Mandeep Gupta,05-Sep-2023 05:23 PM,finsummary_114403.pdf (563.24 KB),1.0,362403.0,Akhilesh kumar,25-Jul-2023 05:00 PM,Accepted-AOC,Reject,06-Oct-2023,Executive Enginner,Internal,Suptd HDM Dealling Assistant,Mandeep Gupta,28-Jul-2023 01:59 PM,28-Jul-2023 02:05 PM,techsummary_114403.pdf (513.95 KB),Technical,BID,Mandeep Gupta,28-Jul-2023 01:54 PM,technical_114403.pdf,Finance,Finacial BID,Mandeep Gupta,05-Sep-2023 05:18 PM,finance_114403.pdf,BOQ Comparative Chart,06-Oct-2023,"INR 373,140",90.0,Mandeep Gupta,06-Oct-2023 12:34 PM,AOC.pdf (455.00 KB),AOC,"7,500",Yes,fixed,,EE Rajgarh,Rajgarh,Executive Engineer,Jal Shakti Division Rajgarh,250.0,EE Rajgarh,Rajgarh,No,Providing FIS to village Swana in GP Dahan Tehsil Rajgarh Distt. Sirmour,SH L/J/T of GI pipes in Main line),Please refer Tender documents. ,NA ,"3,74,640",Pipe Laying Works,testing ,Tender,120.0,90.0,Rajgarh,173101.0,NA ,NA ,NA ,Rajgarh,No ,No,21-Jul-2023 09:00 AM,27-Jul-2023 11:30 AM,21-Jul-2023 09:00 AM,27-Jul-2023 11:00 AM,NA ,NA ,21-Jul-2023 09:00 AM,27-Jul-2023 11:00 AM,28-Jul-2023 02:05 PM,1.0,Fee/PreQual/Technical,.pdf,Latest copy of Registration,1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",1147-1246 dated 19-07-2023,2023_HPIPH_76517_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No
2.0,362710.0,Kapil Dev,INR,0,,,,,,,,,,,2.0,362710.0,Kapil Dev,27-Jul-2023 10:33 AM,Accepted-AOC,Reject,06-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Cost duly pleaged in favor of EE Rajgarh,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,
3.0,362740.0,Yash Pal,INR,"373,140",,,,,,,,,,,3.0,362755.0,Nikhil Kumar,27-Jul-2023 09:13 AM,Accepted-AOC,Reject,06-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Duly pleaged in favor of EE Rajgarh,,,,,,,,,,,,,,,,
4.0,362755.0,Nikhil Kumar,INR,0,,,,,,,,,,,4.0,362740.0,Yash Pal,27-Jul-2023 06:11 AM,Accepted-AOC,Accept,06-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavidt that the firm/Contractor has not been blacklisted by the Govt./Deptt,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Income Tax,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Technical Staff,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Exp as per NIT Cond. at sr. (J),,,,,,,,,,,,,,,,
