EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
"11,000",No,fixed,,Nil,Nil,PWD,EE Dehra letter No.7182-86 dated 10.11.2021,2021_PWD_53963_18,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,A/R and M/O Jawalamukhi Dehra Jawali Raja Ka Talab road Km. 22/0 to 39/180,Construction of W-Metal Beam crash barrier and protection wall at RD 31/635 to 31/800(Guler Railway Station Signal Light Protection),Please refer to tender document ,NA ,,Civil Works - Roads,Repair of road ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,26-Nov-2021 10:00 AM,03-Dec-2021 11:00 AM,26-Nov-2021 10:00 AM,02-Dec-2021 06:00 PM,26-Nov-2021 10:00 AM ,30-Nov-2021 05:00 PM ,26-Nov-2021 10:00 AM,02-Dec-2021 06:00 PM,24-Dec-2021 11:00 AM,1.0,ICICI BANK,1.0,246281.0,Govt. Contractor,INR,"875,400",22-Oct-2023,"INR 822,096",30.0,Gurvachan Singh,22-Oct-2023 02:54 PM,53963_18Award.pdf (651.00 KB),Work award issued,PWD,2021_PWD_53963_18,EE Dehra letter No.7182-86 dated 10.11.2021,A/R and M/O Jawalamukhi Dehra Jawali Raja Ka Talab road Km. 22/0 to 39/180,EE Dehra,Internal,AE to EE Dehra DHD Dehra DAO Dehra Superintendent Dehra,Dinesh Kumar Dhiman,06-Feb-2022 01:03 PM,finsummary_80848.pdf (180.99 KB),Finance,Financial bid opening summary,Dinesh Kumar Dhiman,06-Feb-2022 12:10 PM,finance_80848.pdf,BOQ Comparative Chart,1.0,246281.0,Govt. Contractor,02-Dec-2021 10:51 AM,Accepted-AOC,L1,22-Oct-2023,Technical,Technical bid opening summary,Dinesh Kumar Dhiman,22-Dec-2021 01:26 PM,technical_80848.pdf,EE Dehra,Internal,AE to EE Dehra DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,22-Dec-2021 03:39 PM,24-Dec-2021 11:00 AM,techsummary_80848.pdf (369.35 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,246301.0,NISHANT SHARMA GOV CONTRACTER,01-Dec-2021 02:26 PM,Rejected-Finance,Highest bidder,06-Feb-2022,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,246314.0,shyam sharma,01-Dec-2021 02:43 PM,Rejected-Finance,Highest bidder,06-Feb-2022,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
