Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Technical,sum,Suresh Kumar Walia,07-Oct-2023 03:10 PM,technical_118496.pdf,1.0,375318.0,AJIT SINGH GOVT CONTRACTOR,05-Oct-2023 08:34 AM,Accepted-AOC,Award,01-Nov-2023,Finance,sum,Suresh Kumar Walia,09-Oct-2023 04:18 PM,finance_118496.pdf,BOQ Comparative Chart,1.0,375318.0,AJIT SINGH GOVT CONTRACTOR,INR,"768,971",31-Oct-2023,"INR 999,963",60.0,Suresh Kumar Walia,01-Nov-2023 03:42 PM,Award.pdf (272.00 KB),Award,Executive Engineer,Internal,AE DAO SUPDT HDM,Suresh Kumar Walia,09-Oct-2023 04:20 PM,finsummary_118496.pdf (188.84 KB),Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,07-Oct-2023 03:11 PM,09-Oct-2023 11:00 AM,techsummary_118496.pdf (1071.45 KB),PWD,2023_PWD_79047_4,Nagrota 19-9-2023,Restoration of rain damages on link road Thana Bargran Busal Km 0/000 to 4/300 in Distt Kangra (HP) (SH-Providing wire crate protection work in various reaches between Km 1/700 to 2/000),350.0,Nil,Nil,No,28-Sep-2023 05:00 PM,05-Oct-2023 11:00 AM,28-Sep-2023 05:00 PM,05-Oct-2023 10:00 AM,NA ,NA ,28-Sep-2023 05:00 PM,05-Oct-2023 10:00 AM,09-Oct-2023 11:00 AM,"20,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Restoration of rain damages on link road Thana Bargran Busal Km 0/000 to 4/300 in Distt Kangra (HP) (SH-Providing wire crate protection work in various reaches between Km 1/700 to 2/000),Restoration of rain damages on link road Thana Bargran Busal Km 0/000 to 4/300 in Distt Kangra (HP) (SH-Providing wire crate protection work in various reaches between Km 1/700 to 2/000),Please refer Tender documents. ,NA ,"9,99,963",Civil Works - Roads,NA ,Tender,120.0,60.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,PWD,Nagrota 19-9-2023,2023_PWD_79047_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,2.0,376101.0,M/S Sanjay Garg,05-Oct-2023 09:27 AM,Rejected-Finance,Lowest 1,09-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
