Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
ParveenKumarE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Parveen Kumar Verma,11-Oct-2023 11:54 AM,finsummary_118230.pdf (266.82 KB),16-Oct-2023,"INR 3,730,361",30.0,Parveen Kumar Verma,09-Nov-2023 04:42 PM,JaiAOC.pdf (254.00 KB),AOC,PWD,2023_PWD_79257_3,SD-T-13423-39dt.22-9-2023,"Repair Renovation to Various Non Residentail buildings under division no III Shimla. (SH - Repair of roofing, tile work, wood work for cupboards, repair of toilets, W.S and S.I Fittings, Plastering work , Painting and distempering work etc in NCC off",ParveenKumarE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Parveen Kumar Verma,09-Oct-2023 05:47 PM,09-Oct-2023 05:50 PM,techsummary_118230.pdf (344.76 KB),Finance,BOS,Parveen Kumar Verma,09-Oct-2023 06:08 PM,,BOQ Comparative Chart,1.0,376274.0,jai prakash sharma,INR,"2,853,721",Technical,Bid Opening Summary,Parveen Kumar Verma,09-Oct-2023 04:02 PM,technical_118230.pdf,1.0,376011.0,DALEEP TOMAR,06-Oct-2023 02:36 PM,Rejected-Finance,L6,11-Oct-2023,1.0,ICICI BANK,PWD,SD-T-13423-39dt.22-9-2023,2023_PWD_79257_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),500.0,Nil,Nil,No,"Repair Renovation to Various Non Residentail buildings under division no III Shimla. (SH - Repair of roofing, tile work, wood work for cupboards, repair of toilets, W.S and S.I Fittings, Plastering work , Painting and distempering work etc in NCC off","Repair Renovation to Various Non Residentail buildings under division no III Shimla. (SH - Repair of roofing, tile work, wood work for cupboards, repair of toilets, W.S and S.I Fittings, Plastering work , Painting and distempering work etc in NCC off",As per SBD ,NA ,"37,30,361",Civil Works - Buildings,NA ,Tender,75.0,30.0,NCC office,171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,27-Sep-2023 09:00 AM,08-Oct-2023 09:00 AM,27-Sep-2023 09:00 AM,07-Oct-2023 06:00 PM,NA ,NA ,27-Sep-2023 09:00 AM,07-Oct-2023 06:00 PM,09-Oct-2023 05:50 PM,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","74,607",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,376553.0,DALIP SINGH,06-Oct-2023 08:41 PM,Rejected-Finance,L5,11-Oct-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,376274.0,jai prakash sharma,05-Oct-2023 04:19 PM,Accepted-AOC,L1,09-Nov-2023,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,375033.0,Jibachh Goswami,05-Oct-2023 09:39 AM,Rejected-Finance,L4,11-Oct-2023,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,376606.0,KRISHNA THAKUR,07-Oct-2023 10:24 AM,Rejected-Finance,L7,11-Oct-2023,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,376694.0,Rohit Sood,07-Oct-2023 05:17 PM,Rejected-Finance,L3,11-Oct-2023,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,376607.0,SHAILESH KUMAR,07-Oct-2023 05:28 PM,Rejected-Finance,L2,11-Oct-2023,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,375361.0,Vinod Kumar Shah,06-Oct-2023 02:31 PM,Rejected-Finance,L8,11-Oct-2023,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Address and Valid Mobile Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
