Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address
ER. Hoshiar Singh EE,Internal,"Sh.Suresh Kumar Sr. Asstt., Sh. Raj Kumar HDM and Smt. Devinder Kaur Supdt.Gr.II JSV Amb",Hoshiar Singh,07-May-2022 06:03 PM,09-May-2022 10:00 AM,techsummary_90575.pdf (2034.42 KB),1.0,280017.0,M/S. Mast Ram Jaswal And Co.,02-May-2022 09:14 AM,Rejected-Finance,Due to L4,07-Oct-2023,Finance,summary,Hoshiar Singh,07-Oct-2023 05:17 PM,finance_90575.pdf,BOQ Comparative Chart,Technical,summary cover -1,Hoshiar Singh,07-May-2022 06:00 PM,technical_90575.pdf,07-Oct-2023,"INR 3,188,150",60.0,Hoshiar Singh,07-Oct-2023 05:25 PM,award.pdf (4936.00 KB),award,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2022_HPIPH_59890_1,EE-JSD-Amb-Twell Chururu and Hamboli,"Providing Multi Villages scheme to Chururu, Baduhi and Hamboli in Chintpurni Constituency Tehsil Amb Distt. Una (HP)",1.0,279878.0,popular pipes,INR,"3,188,150",Er Arvind SOod,Internal,"Er Naresh Dhiman,EE (D), Er Hoshiar Singh EE JSD Amb, Er Shrikant AE (D), Sh Munish Kumar Sharma CHD, Sh Anil Kumar Supdt Circle Una",Hoshiar Singh,07-Oct-2023 05:22 PM,finsummary_90575.pdf (1098.32 KB),1.0,ICICI BANK,"Providing Multi Villages scheme to Chururu, Baduhi and Hamboli in Chintpurni Constituency Tehsil Amb Distt. Una (HP)","Sub Head Drilling, Lowering of assembly and Development of 2 Nos Tubewell 120 Mtrs Deep 200 dia i.e. at Vill. Chururu and Hamboli). (Under Jal Jeevan Mission)",Please refer Tender documents. ,NA ,"36,99,258",Civil Works,NA ,Tender,120.0,60.0,Amb,177203.0,NA ,NA ,NA ,Amb,No ,No,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EE-JSD-Amb-Twell Chururu and Hamboli,2022_HPIPH_59890_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIeT condition 1 a (i),400.0,EE JS Division Amb,Amb,No,26-Apr-2022 05:00 PM,02-May-2022 12:30 PM,26-Apr-2022 06:00 PM,02-May-2022 11:00 AM,NA ,NA ,26-Apr-2022 06:00 PM,02-May-2022 11:00 AM,09-May-2022 10:00 AM,"62,989",Yes,fixed,,EE JS Division Amb,Amb,Executive Engineer,Jal Shakti Division Amb
,,,,,,,2.0,279878.0,popular pipes,29-Apr-2022 03:59 PM,Accepted-AOC,L1,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender as per NIeT condition 1 a (ii),,,,,,,,,,,,,,,,,,,,,
,,,,,,,3.0,280069.0,PRAGATI TOWERS CORPORATION,02-May-2022 10:39 AM,Rejected-Finance,Due to L3,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration as per NIeT condition 1 a (iii),,,,,,,,,,,,,,,,,,,,,
,,,,,,,4.0,280048.0,SWAMI RAMJI BORE WELLS,02-May-2022 09:42 AM,Rejected-Finance,Due to L2,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy PAN GST and EPF as per NIeT condition 1 a (v),,,,,,,,,,,,,,,,,,,,,
,,,,,,,5.0,279983.0,Vijay Sharma Contractor,01-May-2022 02:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter DSC as per NIeT condition 1 a (vi),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully studied as per NIeT condition 1 a (vii),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking labour as per NIeT condition 1 a (viii),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form 6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,
