Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-511/2022,2022_HPSEB_66335_1,Yes,Open Tender,Turn-key,Works,2.0,No,Yes,Online,No,No,No,1.0,ICICI BANK,Supply and Erection of Capacitor Banks,"DESIGN, MANUFACTURE, ASSEMBLY, TESTING AT MANUFACTURERS WORKS DELIVERY AT F.O.R. DESTINATION STATIONS AND ERECTION, TESTING COMMISSIONING OF 11KV CAPACITOR BANKS (1.2MVAR 1.8MVAR) WITH APFC PANELS ON TURN KEY BASIS FOR VARIOUS SUBSTATIONS IN HP",Please refer Tender documents. ,NA ,"6,70,00,000",Electrical Works,NA ,Tender,240.0,180.0,Various s/stns of HPSEBL,177001.0,"o/o SE (Design), HPSEBl ,Hamirpur ","o/o SE (Design), HPSEBL ,Hamirpur ",14-Oct-2022 11:00 AM ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Form and Tender Performa,SE (Design),"o/o SE (Design), HPSEBL ,Hamirpur",1.0,Corrigendum 3,Date,,11-Oct-2022 02:00 PM,06-Dec-2022 03:00 PM,11-Oct-2022 02:00 PM,05-Dec-2022 01:00 PM,NA ,NA ,17-Oct-2022 11:00 AM,05-Dec-2022 01:00 PM,15-Feb-2023 03:20 PM,"11,800",Nil,Nil,No,"6,70,000",No,fixed,,Nil,Nil,SE (Design),Internal,"SE Design, Sr XEN, AE",Puneet Chaudhary,12-Oct-2023 12:20 PM,finsummary_99771.pdf (96.21 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_66335_1,SSD-511/2022,Supply and Erection of Capacitor Banks,1.0,308895.0,universal cables ltd,INR,"4,473,578",Finance,Price Bid of responsive bidders have been opened,Narender Pal Abrol,15-Feb-2023 03:48 PM,finance_99771.pdf,BOQ Comparative Chart,Technical,techno commercial Bid of the bidders have been opened,Narender Pal Abrol,06-Dec-2022 03:32 PM,technical_99771.pdf,12-Oct-2023,"INR 4,473,578.59",180.0,Puneet Chaudhary,12-Oct-2023 12:32 PM,Award511.pdf (470.00 KB),SE (Design),Internal,"SE Design, XEN, AE",Puneet Chaudhary,15-Feb-2023 03:16 PM,15-Feb-2023 03:20 PM,techsummary_99771.pdf (96.45 KB),1.0,310710.0,ABPS SOLUTION PVT LTD,27-Nov-2022 07:11 PM,Rejected-Technical,Technocommercially Non Responsive,15-Feb-2023
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,2.0,Main BOQ Corrigendum,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,310707.0,Magnewin Energy Pvt Ltd,27-Nov-2022 07:15 PM,Rejected-Technical,Technocommercially Non Responsive,15-Feb-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,3.0,Pre Bid Clarification 2,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,310709.0,Shreem Electric Ltd,28-Nov-2022 11:30 AM,Rejected-AOC,L2 Bidder,12-Oct-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,310337.0,SMARU TECH LLP,03-Dec-2022 12:32 PM,Rejected-Technical,Technocommercially Non Responsive,15-Feb-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,308895.0,universal cables ltd,10-Nov-2022 12:54 PM,Accepted-AOC,L1 Bidder,12-Oct-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Test Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney to sign tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTPs and Performance Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
