Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
PWD,Nagrota 08,2023_PWD_78665_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,"1,29,850",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,1.0,ICICI BANK,Construction of Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in District Kangra (HP) Deposit work (SH-Balance work of Providing and laying interlocking paver block in parking area and road in staff only.,Construction of Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in District Kangra (HP) Deposit work (SH-Balance work of Providing and laying interlocking paver block in parking area and road in staff only.,Please refer Tender documents. ,NA ,"64,90,108",Civil Works,NA ,Tender,120.0,120.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,08-Sep-2023 05:00 PM,15-Sep-2023 11:00 AM,08-Sep-2023 05:00 PM,15-Sep-2023 10:00 AM,NA ,NA ,08-Sep-2023 05:00 PM,15-Sep-2023 10:00 AM,28-Sep-2023 03:25 PM,PWD,2023_PWD_78665_1,Nagrota 08,Construction of Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in District Kangra (HP) Deposit work (SH-Balance work of Providing and laying interlocking paver block in parking area and road in staff only.,Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,28-Sep-2023 03:20 PM,28-Sep-2023 03:25 PM,techsummary_117325.pdf,Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,29-Sep-2023 12:45 PM,finsummary_117325.pdf,26-Oct-2023,"INR 6,490,108",120.0,Suresh Kumar Walia,01-Nov-2023 03:40 PM,Award.pdf,Award,Technical,SUM,Suresh Kumar Walia,28-Sep-2023 03:18 PM,technical_117325.pdf,Finance,sum,Suresh Kumar Walia,29-Sep-2023 12:43 PM,finance_117325.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
