S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,ICICI BANK,Restoration of rain damages on Nagni to Gharana road Km 0/0 to 10/00,C/o R/wall at RD 1/535 to 1/559 and C/o B/wall at RD 1/535 to 1/559.,Please refer Tender documents. ,NA ,"8,42,672",Civil Works - Roads,NA ,Tender,75.0,60.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,350.0,Nil,Nil,No,PWD,NIT No.7783-7842 DT.11-09-2023-Bhawarna,2023_PWD_78843_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,"17,000",No,fixed,,Nil,Nil,15-Sep-2023 10:00 AM,21-Sep-2023 11:30 AM,15-Sep-2023 10:05 AM,21-Sep-2023 11:00 AM,NA ,NA ,15-Sep-2023 10:30 AM,21-Sep-2023 11:00 AM,26-Sep-2023 03:45 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,1.0,372477.0,RAKESH KUMAR GOVT. CONT.,19-Sep-2023 02:02 PM,Rejected-Finance,L2,04-Oct-2023,Technical,Summary,Anand Katoch,26-Sep-2023 03:28 PM,technical_117581.pdf,1.0,372689.0,Suresh Kumar,INR,"705,319",Finance,Summary,Sanjiv Mahajan,04-Oct-2023 11:34 AM,finance_117581.pdf,BOQ Comparative Chart,Sh. Sanjiv Mahajan,Internal,Anand Katoch AEtoEE Subhash Chand Supdt. Shubham JDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Anand Katoch,26-Sep-2023 03:30 PM,26-Sep-2023 03:45 PM,techsummary_117581.pdf (345.95 KB),PWD,2023_PWD_78843_1,NIT No.7783-7842 DT.11-09-2023-Bhawarna,Restoration of rain damages on Nagni to Gharana road Km 0/0 to 10/00,04-Oct-2023,"INR 705,319.14",60.0,Sanjiv Mahajan,04-Oct-2023 11:40 AM,AOC.pdf (1047.00 KB),AOC,Sh. Sanjiv Mahajan,Internal,,Sanjiv Mahajan,04-Oct-2023 11:36 AM,finsummary_117581.pdf (257.23 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,2.0,372689.0,Suresh Kumar,21-Sep-2023 10:34 AM,Accepted-AOC,L1,04-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
