Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra letter No. 11076-81 dt. 13.02.2023,2023_PWD_68831_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"8,000",No,fixed,,Nil,Nil,16-Feb-2023 10:00 AM,24-Feb-2023 11:30 AM,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,NA ,NA ,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,04-Mar-2023 01:35 PM,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,"SDF/2021/998,R/O ( Repair of ) Restoration of Link road Dabkehar to Chowki Mohal Km. 0/0 to 2/700","Providing and laying GSB, Cement concrete pavement at RD. 0/800 to 0/880 ) ( DEPOSITE WORK",Please refer to tender documents ,NA ,"3,94,680",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,Finance,Summary,Gurvachan Singh,19-Apr-2023 01:41 PM,finance_103845.pdf,BOQ Comparative Chart,1.0,328151.0,ROHIT SHARMA,INR,"311,045",1.0,328013.0,ashish chaudhry,23-Feb-2023 12:27 PM,Rejected-Finance,Highest Bidder,19-Apr-2023,Technical,Summary,Dinesh Kumar Dhiman,04-Mar-2023 01:09 PM,technical_103845.pdf,PWD,2023_PWD_68831_8,EE Dehra letter No. 11076-81 dt. 13.02.2023,"SDF/2021/998,R/O ( Repair of ) Restoration of Link road Dabkehar to Chowki Mohal Km. 0/0 to 2/700",EE Dehra,Internal,"HDM, Supdt, DAO",Dinesh Kumar Dhiman,04-Mar-2023 01:33 PM,04-Mar-2023 01:35 PM,techsummary_103845.pdf (1604.37 KB),EE Dehra,Internal,"Supdt., HDM, DAO",Gurvachan Singh,19-Apr-2023 01:43 PM,finsummary_103845.pdf (968.00 KB),04-Oct-2023,"INR 394,680",30.0,Gurvachan Singh,04-Oct-2023 10:48 AM,68831_8Award.pdf (825.00 KB),Work award issued
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328151.0,ROHIT SHARMA,23-Feb-2023 02:48 PM,Accepted-AOC,L1,04-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
