S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Instrument Type
1.0,228655.0,malkiat singh govt cont,INR,"46,193,643","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2021_HPIPH_50519_1,EEJSD Amb--Tender WSS JowarMairi stage-II and III,"Engineering, procurement, construction, testing, commissioning, trial run of various components for Providing multi village piped water supply scheme in Gagret Constituency in Gagret Block and Chintpurni constituency in Amb Block in District Una (HP)",Dr SK Sharma,Internal,"Er Kartar Singh Bhatia SE (D), Er Arvind Sood SE JC Una, Er. Brahm Dass EE (D), Er Hoshiar Singh EE JSD Amb, Er Vijay Kumar Bansal AE, Sh Amar Singh Sr Asstt Work section Hamirpur Zone",Hoshiar Singh,07-Oct-2023 12:06 PM,finsummary_75549.pdf (2002.61 KB),07-Oct-2023,"INR 46,193,643",365.0,Hoshiar Singh,07-Oct-2023 12:11 PM,award.pdf (10941.00 KB),award,Finance,summary,Hoshiar Singh,07-Oct-2023 11:59 AM,finance_75549.pdf,BOQ Comparative Chart,Technical,summary of prequalification bid,Hoshiar Singh,21-Sep-2021 12:20 PM,technical_75549.pdf,Dr S. K Sharma CE (HZ),Internal,"Er K.S Bhatia SE D (H/Z) ,Er. Arvind Sood SE JSC Una , Er. Brahm Dass EE D(HZ), Er. Hoshiar Singh EE JSV D Amb Er. Vijay Kumar AE JSV HZ Smt. Subnam Supdt. WS (HZ)",Hoshiar Singh,21-Sep-2021 12:27 PM,21-Sep-2021 12:40 PM,techsummary_75549.pdf (1641.90 KB),1.0,229309.0,gagan ohri,11-Aug-2021 03:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Sep-2021,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EEJSD Amb--Tender WSS JowarMairi stage-II and III,2021_HPIPH_50519_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,500",EE JSV Division Amb,Amb,No,"Engineering, procurement, construction, testing, commissioning, trial run of various components for Providing multi village piped water supply scheme in Gagret Constituency in Gagret Block and Chintpurni constituency in Amb Block in District Una (HP)","Sub head Providing, Laying, jointing and testing of GMSERW pipe in Rising mains, Supply and erection of Submersible/ Centrifugal Pumping Machinery including all accessories and Construction of civil works and Running, Operation and Maintenance of",Please refer Tender documents. ,NA ,"4,83,64,847",Civil Works,NA ,Tender,120.0,365.0,Amb,177203.0,Hamirpur  ,"Chief Engineer, Jal Shakti Vibhag (HZ), Hamirpur ",09-Aug-2021 11:00 AM ,Amb,No ,No,"5,16,149",No,fixed,,EE JSV Division Amb,Amb,29-Jul-2021 06:00 PM,12-Aug-2021 12:30 PM,29-Jul-2021 06:00 PM,12-Aug-2021 11:00 AM,29-Jul-2021 06:00 PM ,12-Aug-2021 11:00 AM ,29-Jul-2021 06:00 PM,12-Aug-2021 11:00 AM,21-Sep-2021 12:40 PM,Executive Engineer,Jal Shakti Division Amb,1.0,Fee/PreQual/Technical,.pdf,Earnest money as per invitation of online bids condition No. 3 (i),1.0,DD - Demand Draft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,229267.0,KATIANI CONSTRUCTION,11-Aug-2021 01:52 PM,Rejected-Finance,Due to L2,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Cost as per invitation of online bids condition No. 3 (ii),2.0,FDR - Fixed Deposit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,228655.0,malkiat singh govt cont,11-Aug-2021 07:21 PM,Accepted-AOC,Due to L1,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Enlistment as per invitation of online bids condition No. 3 (iii),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,229426.0,MS Kamal Dev Sharma,11-Aug-2021 08:50 PM,Rejected-Finance,Due to L3,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An average annual Turnover as per invitation of online bids condition No. 3 (vi) (a),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,229185.0,SS RANA CONSTRUCTION PRIVATE LIMITED,11-Aug-2021 02:11 PM,Rejected-Finance,Due to L4,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience (similar nature work) of as per invitation of online bids cond. No 3 (vi)(b) and (vii),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,229312.0,Unipro Techno Infrastructure Pvt Ltd,11-Aug-2021 06:45 PM,Rejected-Finance,Due to L5,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No./ GST No. EPF registration as per invitation of online bids condition No. 3 (viii),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per invitation of online bids condition No. 3 (x) and (xi),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form 6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Datasheet,,
