Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name
05-Oct-2023,"INR 964,393",30.0,Arun Vashisht,05-Oct-2023 04:18 PM,75230_3Award.pdf (910.00 KB),Work award issued,EE Dehra,Internal,"HDM,Supdt,DAO",Gurvachan Singh,04-Sep-2023 06:57 PM,finsummary_112678.pdf (543.65 KB),EE Dehra,Internal,"HDM,Supdt,DAO",Arun Vashisht,12-Jul-2023 03:13 PM,12-Jul-2023 03:15 PM,techsummary_112678.pdf (777.42 KB),PWD,2023_PWD_75230_3,EE Dehra letter No. 1833-38 dated 12.06.2023,C/o link road to village Bhatal khurd in Km.0/00 to 5/500,Technical,Summary,Arun Vashisht,12-Jul-2023 02:56 PM,technical_112678.pdf,1.0,356944.0,Dev Raj,26-Jun-2023 07:02 PM,Rejected-Finance,Highest Bidder,04-Sep-2023,1.0,356772.0,sonu,INR,"675,075",Finance,Summary,Gurvachan Singh,04-Sep-2023 06:50 PM,finance_112678.pdf,BOQ Comparative Chart,Executive Engineer,HPPWD Division Dehra,C/o link road to village Bhatal khurd in Km.0/00 to 5/500,C/o R/wall at RD 0/030 to 0/056 and P/L cement concrete pavement at RD 0/00 to 0/160,Please refer to tender documents ,NA ,"9,64,393",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"20,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,21-Jun-2023 10:00 AM,28-Jun-2023 11:30 AM,21-Jun-2023 10:00 AM,27-Jun-2023 06:00 PM,NA ,NA ,21-Jun-2023 10:00 AM,27-Jun-2023 06:00 PM,12-Jul-2023 03:15 PM,PWD,EE Dehra letter No. 1833-38 dated 12.06.2023,2023_PWD_75230_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,357203.0,NEERAJ SAPEHIA,27-Jun-2023 04:40 PM,Rejected-Finance,Highest Bidder,04-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,356987.0,ROHIT SHARMA,26-Jun-2023 08:37 PM,Rejected-Finance,Highest Bidder,04-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,356772.0,sonu,27-Jun-2023 02:17 PM,Accepted-AOC,L1,05-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,357120.0,SUSHIL KUMAR,27-Jun-2023 12:19 PM,Rejected-Finance,Highest Bidder,04-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
