S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1.1,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,283586.0,ASHISH KUMAR GOVT CONTRACTOR,26-May-2022 10:51 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Jun-2022,ER Arbind Sood SE JSC una,Internal,"Er. Naresh Dhiman (EE) D, Er. Hoshiar Singh EE JSD Amb, Er. Shrikant Bhatia AE (D) Sh. Munish Kumar CHD, Sh. Deepak Clerk JS Circle Una",Hoshiar Singh,03-Jun-2022 11:10 AM,03-Jun-2022 11:30 AM,techsummary_91495.pdf (5188.72 KB),Technical,summary cover-I,Hoshiar Singh,03-Jun-2022 11:05 AM,technical_91495.pdf,Finance,summary,Hoshiar Singh,07-Oct-2023 07:35 PM,finance_91495.pdf,BOQ Comparative Chart,07-Oct-2023,"INR 33,770,895",365.0,Hoshiar Singh,07-Oct-2023 07:43 PM,award.pdf (6841.00 KB),award,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2022_HPIPH_60579_1,EE-JSD-Amb-LWSS to Ambhera Dhiraj,"Engineering, procurement, construction, testing, commissioning, trial run of various components for Providing LWSS to Ambhera Dhiraj in Tehsil Bangana Distt. Una(HP) in single package on Turn-key job basis with completion period of 12 Months includ",1.0,283848.0,gagan ohri,INR,"33,770,895",Dr SK Sharma,Internal,"Er Vikas Kapur SE (D), Er Naresh Dhiman SE JC Una, Er. Rajesh Kanungo EE (D), Er Hoshiar Singh EE JSD Amb, Sh Vijay Kumar Sr Asstt Work section Hamirpur Zone",Hoshiar Singh,07-Oct-2023 07:41 PM,finsummary_91495.pdf (6840.64 KB),13-May-2022 05:00 PM,26-May-2022 11:30 AM,13-May-2022 05:00 PM,26-May-2022 11:00 AM,13-May-2022 05:00 PM ,18-May-2022 05:00 PM ,13-May-2022 05:00 PM,26-May-2022 11:00 AM,03-Jun-2022 11:30 AM,1.0,Corrected /updated terms and condition as DNIT,Other,,"4,09,689",No,fixed,,EE JSV Division Amb,Amb,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EE-JSD-Amb-LWSS to Ambhera Dhiraj,2022_HPIPH_60579_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,500",EE JSV Division Amb,Amb,No,Executive Engineer,Jal Shakti Division Amb,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,(i) Copy of Certificate of registration with HP Jal Shakti Vibhag as per NITcondition cover-1 (i),"Engineering, procurement, construction, testing, commissioning, trial run of various components for Providing LWSS to Ambhera Dhiraj in Tehsil Bangana Distt. Una(HP) in single package on Turn-key job basis with completion period of 12 Months includ","Sub head Providing, Laying, jointing and testing of GMSERW pipe in Rising mains, Supply and Errection of Submersible/ Centrifugal Pumping Machinery including all accessories, Laying, jointing and testing of GMS Pipe of various dia in Gravity main/Di",Please refer Tender documents. ,NA ,"3,77,18,907",Civil Works,NA ,Tender,120.0,365.0,Amb,177203.0,Hamirpur ,Chief Engineer (H/Z) Jal Shakti Vibhag Hamirpur ,19-May-2022 03:00 PM ,Amb,No ,No
2.0,283590.0,Ashwani Kumar Govt Contractor,25-May-2022 04:51 PM,Rejected-Finance,Due to L3,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SS - Small Savings Instrument,,,.pdf,(ii) Earnest money as per NIT conditioncover-1 (ii),,,,,,,,,,,,,,,,,,
3.0,283862.0,BACHITTAR SINGH AND CO,26-May-2022 06:57 AM,Rejected-Finance,Due to L4,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,(iii) Tender Cost as per NIT conditioncover-1 (iii),,,,,,,,,,,,,,,,,,
4.0,283848.0,gagan ohri,25-May-2022 08:12 PM,Accepted-AOC,L1,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"(iv) Copy of PAN, GST and EPF as per NIT conditioncover-1 (iv)",,,,,,,,,,,,,,,,,,
5.0,283336.0,Naresh Kumar,25-May-2022 12:18 AM,Rejected-Finance,Due to L2,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(v) Copy of undertaking of DS Certificate as per NIT condition cover-1 (vi),,,,,,,,,,,,,,,,,,
6.0,283860.0,Vinay Kumar,26-May-2022 06:09 AM,Rejected-Finance,Due to L5,07-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(vi) Copy of undertaking reg. studied all terms and conditions as per NIT condition cover-1 (vii),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(vii) Copy of undertaking reg. Contract Labour as per NIT condition cover-1 (viii),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(viii) Copy of make /model of the p/ machinery a/w char./ curves as per cond. NIT cover-1 (ix),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form 6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,
