S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,265860.0,Govt. Contractor,INR,"469,366",Finance,Financial bid opening summary,Dinesh Kumar Dhiman,13-Mar-2022 12:31 PM,finance_85589.pdf,BOQ Comparative Chart,Technical,Opening summary,Dinesh Kumar Dhiman,04-Mar-2022 06:43 PM,technical_85589.pdf,1.0,265860.0,Govt. Contractor,24-Feb-2022 09:43 AM,Accepted-AOC,L1,22-Oct-2023,EE Dehra,Internal,DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,13-Mar-2022 02:28 PM,finsummary_85589.pdf (235.35 KB),22-Oct-2023,"INR 560,220",60.0,Gurvachan Singh,22-Oct-2023 03:14 PM,53963_18Award.pdf (651.00 KB),Work award issued,PWD,2022_PWD_56816_8,EE Dehra letter No11262-66 dated 07.02.2022,A/R andM/O to HPPWD Rest House at Dehra Tehsil Dehra,EE Dehra,Internal,DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,04-Mar-2022 06:59 PM,05-Mar-2022 11:00 AM,techsummary_85589.pdf (276.40 KB),PWD,EE Dehra letter No11262-66 dated 07.02.2022,2022_PWD_56816_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R andM/O to HPPWD Rest House at Dehra Tehsil Dehra,"Distempering, painting, flooring tiles, wood work etc.",Before uploading of tender please refer to bidding document for all conditions/instructions ,NA ,"5,60,220",Civil Works,Repair of building ,Tender,75.0,60.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,Executive Engineer,HPPWD Division Dehra,17-Feb-2022 10:00 AM,25-Feb-2022 11:30 AM,17-Feb-2022 10:00 AM,24-Feb-2022 06:00 PM,17-Feb-2022 10:00 AM ,22-Feb-2022 05:00 PM ,17-Feb-2022 10:00 AM,24-Feb-2022 06:00 PM,05-Mar-2022 11:00 AM,350.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,"11,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,2.0,266156.0,jai parkash walia govt cont,24-Feb-2022 02:12 PM,Rejected-Finance,Rejected being highest bidder,13-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Copy of enlistment,,,,,,
,,,,,,,,,,,,,,,,3.0,265890.0,M/S Surjeet Singh Govt. Contractor,24-Feb-2022 05:06 PM,Rejected-Finance,Rejected being highest bidder,13-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,
,,,,,,,,,,,,,,,,4.0,265323.0,MUKESH KUMAR,24-Feb-2022 12:38 PM,Rejected-Finance,Rejected being highest bidder,13-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid with name of bid duly attested from the competent authority,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,
