Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Finance,Bid opening summary,Sudhir Kumar Gupta,28-Jun-2022 05:18 PM,finance_92936.pdf,BOQ Comparative Chart,1.0,286739.0,pramod kumar sharma,INR,"967,744",Technical,Bid opening summary,Naveen Singh Kaundal,24-Jun-2022 01:25 PM,technical_92936.pdf,1.0,287095.0,NOKH RAM SHARMA,15-Jun-2022 06:48 PM,Rejected-Finance,L2 Bidder,28-Jun-2022,Er Suresh Kumar Chandel EE,Internal,Sh Rajesh Chauhan DAO Sh Ram Sawaroop Supdt Sh Amar Nath Arrora HDM,Parveen Kumar Verma,28-Jun-2022 05:32 PM,finsummary_92936.pdf (191.63 KB),20-Oct-2023,"INR 927,380",30.0,Naveen Singh Kaundal,20-Oct-2023 05:44 PM,21587.pdf (144.00 KB),AOC,PWD,2022_PWD_61587_3,PW-SRDD-CB-CTR-2022-5778-827 dt. 27-05-2022,A/R and M/O on Shananghatti Dargi Sohal Panohi Katal road km. 0/00 to 12/225,Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Ram Swaroop Thakur Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,24-Jun-2022 02:35 PM,24-Jun-2022 03:00 PM,techsummary_92936.pdf (532.10 KB),Executive Engineer,Shimla Rural Division HPPWD Dhami,PWD,PW-SRDD-CB-CTR-2022-5778-827 dt. 27-05-2022,2022_PWD_61587_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"18,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,A/R and M/O on Shananghatti Dargi Sohal Panohi Katal road km. 0/00 to 12/225,SH- Repair of pot holes Rds. 3/700 to 5/00( Job No. III).,as per tender documents ,NA ,"9,27,380",Civil Works - Roads,NA ,Tender,75.0,30.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,09-Jun-2022 02:00 PM,17-Jun-2022 11:00 AM,09-Jun-2022 02:00 PM,16-Jun-2022 06:00 PM,NA ,NA ,09-Jun-2022 02:00 PM,16-Jun-2022 06:00 PM,24-Jun-2022 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,2.0,286739.0,pramod kumar sharma,14-Jun-2022 12:31 PM,Accepted-AOC,L-1,20-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as Per General Rule 24.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,
