Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,Finance Bid opening summary,Naveen Singh Kaundal,29-Mar-2023 06:22 PM,finance_104333.pdf,BOQ Comparative Chart,1.0,328467.0,AKSHAY DHILLON,INR,"4,489,821",Technical,Bid opening summary,Naveen Singh Kaundal,27-Feb-2023 05:18 PM,technical_104333.pdf,1.0,328140.0,Abhishek Thakur,24-Feb-2023 01:18 PM,Rejected-Technical,Non-responsive,14-Mar-2023,Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Padam Bahadur Supdt.Gr-II,",Naveen Singh Kaundal,29-Mar-2023 06:27 PM,finsummary_104333.pdf (479.12 KB),18-Oct-2023,"INR 5,831,027",180.0,Naveen Singh Kaundal,18-Oct-2023 05:13 PM,aocshadanallah.pdf (332.00 KB),AOC,PWD,2023_PWD_69161_1,25497-99 dt. 14.02.2023,Construction of Shara Nallah to village Nadhoot road in km. 0/00 to 2/600 (SH Improvement of formation deficiences in km. 0/00 to 0/615 and Cutting work in km. 1/255 to 2/00),Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Padam Bahadur Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,14-Mar-2023 01:22 PM,15-Mar-2023 11:00 AM,techsummary_104333.pdf (395.72 KB),Construction of Shara Nallah to village Nadhoot road in km. 0/00 to 2/600 (SH Improvement of formation deficiences in km. 0/00 to 0/615 and Cutting work in km. 1/255 to 2/00),SH Improvement of formation deficiences in km. 0/00 to 0/615 and Cutting work in km. 1/255 to 2/00),as per tender documents ,NA ,"58,31,027",Civil Works - Roads,NIL ,Tender,75.0,180.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,"1,16,700",Yes,fixed,,Nil,Nil,Executive Engineer,Shimla Rural Division HPPWD Dhami,PWD,25497-99 dt. 14.02.2023,2023_PWD_69161_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),17-Feb-2023 05:00 PM,27-Feb-2023 11:00 AM,17-Feb-2023 05:00 PM,25-Feb-2023 06:00 PM,NA ,NA ,17-Feb-2023 05:00 PM,25-Feb-2023 06:00 PM,15-Mar-2023 11:00 AM
,,,,,,,,,,,,,,,,2.0,328467.0,AKSHAY DHILLON,24-Feb-2023 11:35 AM,Accepted-AOC,AOC,18-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,
,,,,,,,,,,,,,,,,3.0,328741.0,JITENDER KUMAR GOVT CONT,24-Feb-2023 04:54 PM,Rejected-Technical,Non-responsive,14-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,
,,,,,,,,,,,,,,,,4.0,327564.0,Vidya Dutt Sharma,25-Feb-2023 09:43 AM,Rejected-Finance,L-2,29-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,
,,,,,,,,,,,,,,,,5.0,329157.0,Vijay Sharma,25-Feb-2023 05:56 PM,Rejected-Finance,L-3,29-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as Per General Rule 24.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B(,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report As Per General Rules 1.1 A (a),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. as per General Rules 1.2B(a)(I),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,
