Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Technical,SUMMARYATTACHED,Anil Kumar Sharma,21-Aug-2023 08:08 AM,technical_115260.pdf,1.0,365436.0,Ambika Bhawani Constructions,09-Aug-2023 08:12 PM,Accepted-AOC,WORKAWARD,17-Oct-2023,1.0,365436.0,Ambika Bhawani Constructions,INR,"6,372,739",Finance,SUMMARYATTACHED,Anil Kumar Sharma,01-Sep-2023 03:30 PM,finance_115260.pdf,BOQ Comparative Chart,EXECUTIVEENGINEER,Internal,SUPDT HDM DAO AE,Anil Kumar Sharma,01-Sep-2023 03:50 PM,finsummary_115260.pdf (418.89 KB),17-Oct-2023,"INR 6,372,739",270.0,Anil Kumar Sharma,17-Oct-2023 03:45 PM,77135AWARD.pdf (853.00 KB),WORKAWARDED VIDE THIS OFFICE LNO 5476-84 DT. 29.08.2023,PWD,2023_PWD_77135_1,4408-15 DT. 27.07.2023,C/O PHC building (Health Institution Level II) at Chamboh Distt. Hamirpur HP,EXECUTIVEENGINEER,Internal,AE DAO HDM SUPDT TA,Anil Kumar Sharma,21-Aug-2023 08:09 AM,21-Aug-2023 11:30 AM,techsummary_115260.pdf (1558.48 KB),C/O PHC building (Health Institution Level II) at Chamboh Distt. Hamirpur HP,SH C-O Building Portion WS SI Rain water harvesting tank and Septic tank,Please refer Tender documents. ,NA ,"70,80,032",Civil Works - Buildings,NA ,Tender,30.0,270.0,DIVISIONBHORANJ,176045.0,NA ,NA ,NA ,DIVISIONBHORANJ,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,04-Aug-2023 09:00 AM,10-Aug-2023 11:30 AM,04-Aug-2023 09:30 AM,10-Aug-2023 09:00 AM,NA ,NA ,04-Aug-2023 10:00 AM,10-Aug-2023 09:00 AM,21-Aug-2023 11:30 AM,PWD,4408-15 DT. 27.07.2023,2023_PWD_77135_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,03,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,EXECUTIVEENGINEER,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj","2,000",Nil,Nil,No
,,,,,2.0,365128.0,PUNEET KUMAR GOVT CONTRACTOR,09-Aug-2023 06:16 PM,Rejected-Finance,L2,01-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,
,,,,,3.0,365311.0,RAKESH KUMAR,09-Aug-2023 10:29 PM,Rejected-Finance,L4,01-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TAX CLEARANCE CERTIFICATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,365149.0,Vishal Rana,08-Aug-2023 05:08 PM,Rejected-Finance,L3,01-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year duly signed by Engineer-in-Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of Machinery as per SBD with proof RC, Affidavit/ lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contractor should not more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
