S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Corrigendum Title,Corrigendum Type,View
1.0,374919.0,GLOBAL ENGINEERING,INR,"507,833",HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,2023_HPSEB_78939_1,HPSEBL/BED/DB-Tender JOB.16,HPSEBL/BED/DB-Tender JOB.16,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,19-Oct-2023 11:16 AM,finsummary_117688.pdf (786.33 KB),Technical,Technical Bid Opening Summery,Deepak Verma,11-Oct-2023 04:09 PM,technical_117688.pdf,Finance,BOQ summery,Deepak Verma,19-Oct-2023 11:09 AM,finance_117688.pdf,BOQ Comparative Chart,19-Oct-2023,"INR 507,833",45.0,Deepak Verma,19-Oct-2023 11:25 AM,Awardletter.pdf (6462.00 KB),Award letter attached,1.0,375000.0,Dhiman Enterprises,29-Sep-2023 10:11 AM,Rejected-Finance,Rates on higher side,19-Oct-2023,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,11-Oct-2023 04:15 PM,11-Oct-2023 04:30 PM,techsummary_117688.pdf (729.15 KB),590.0,Nil,Nil,No,1.0,ICICI BANK,HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB.16,2023_HPSEB_78939_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,Er. Deepak Verma,"Sr. Executive Engineer, Electrical Division, HPSEBL Baddi","5,156",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender cost and earnest money,HPSEBL/BED/DB-Tender JOB.16,E Tendering on partial turnkey basis for providing SOP to Tubewell Bhud Uperla at Near Teli Basti Under Electrical SubDivision HPSEBL Baddi Name of Scheme Deposit,A Class Electrical License with Chief Electrical Inspector ,NA ,"5,15,566",Electrical Works,HT DTR ,Tender,180.0,45.0,Baddi,173205.0,NA ,NA ,NA ,Baddi,No ,No,16-Sep-2023 06:00 PM,30-Sep-2023 02:00 PM,17-Sep-2023 10:00 AM,30-Sep-2023 11:00 AM,NA ,NA ,17-Sep-2023 10:00 AM,30-Sep-2023 11:00 AM,11-Oct-2023 04:30 PM,1.0,Extension of time,Date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,374919.0,GLOBAL ENGINEERING,28-Sep-2023 10:25 PM,Accepted-AOC,Award,19-Oct-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,375020.0,Sharma Enterprises,29-Sep-2023 10:39 AM,Rejected-Finance,Rates on higher side,19-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO No/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
