S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,ICICI BANK,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-1/TA/ E-tender/23- 9735-64 dt 14-08-23,2023_HPIPH_77610_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,15-Aug-2023 10:00 AM,26-Aug-2023 11:00 AM,15-Aug-2023 10:00 AM,25-Aug-2023 05:00 PM,15-Aug-2023 10:00 AM ,25-Aug-2023 05:00 PM ,15-Aug-2023 10:00 AM,25-Aug-2023 05:00 PM,28-Aug-2023 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,"36,550",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,"Providing multi villages piped water supply scheme for Una constituency in Una block in Distt.Una (HP) (Under Jal Jeevan Mission). (SH Drilling, lowering of assembly and development of 160 mtrs deep Tubewell for WSS Durga Shiva and Dharmani Colony","Providing multi villages piped water supply scheme for Una constituency in Una block in Distt.Una (HP) (Under Jal Jeevan Mission). (SH Drilling, lowering of assembly and development of 160 mtrs deep Tubewell for WSS Durga Shiva and Dharmani Colony",as per NIT  ,NA ,"19,36,684",Civil Works,NA ,Tender,120.0,90.0,WSS Durga Shiva Colony,174301.0,NA ,NA ,NA ,Una HP,No ,No,-,Internal,summary,Puneet Sharma,06-Sep-2023 02:56 PM,finsummary_115925.pdf (83.38 KB),1.0,366708.0,Vijay Sharma Contractor,INR,"1,498,201","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_77610_1,No. JSV-1/TA/ E-tender/23- 9735-64 dt 14-08-23,"Providing multi villages piped water supply scheme for Una constituency in Una block in Distt.Una (HP) (Under Jal Jeevan Mission). (SH Drilling, lowering of assembly and development of 160 mtrs deep Tubewell for WSS Durga Shiva and Dharmani Colony",--,Internal,----,Puneet Sharma,28-Aug-2023 04:27 PM,28-Aug-2023 04:30 PM,techsummary_115925.pdf (83.38 KB),1.0,367770.0,JASPREET SINGH,25-Aug-2023 12:26 PM,Rejected-Finance,Not found L-1,06-Sep-2023,Finance,summary,Puneet Sharma,28-Aug-2023 06:14 PM,finance_115925.pdf,BOQ Comparative Chart,Technical,summary,Puneet Sharma,28-Aug-2023 04:25 PM,technical_115925.pdf,27-Oct-2023,"INR 1,498,201",90.0,Puneet Sharma,27-Oct-2023 01:27 PM,AOC.pdf (158.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,368375.0,LAKSHMI DRILLERS AND COMPANY,25-Aug-2023 11:53 AM,Rejected-Finance,Not found L-1,06-Sep-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,368448.0,Shiva Tubewell Works,25-Aug-2023 02:59 PM,Rejected-Finance,Not found L-1,06-Sep-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST number along with latest copy of GST return file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,368424.0,vats associates,25-Aug-2023 12:48 PM,Rejected-Finance,Not found L-1,06-Sep-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,366708.0,Vijay Sharma Contractor,25-Aug-2023 11:28 AM,Accepted-AOC,l-1,27-Oct-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"work done certificate, if any",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding he has executed work two or more work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done certificate , if any",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration with HP Ground Water Authority Shimla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
