S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,"15,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,350.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra Letter No.2859-64 dt. 15.06.2022,2022_PWD_62396_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,04-Jul-2022 10:00 AM,12-Jul-2022 11:30 AM,04-Jul-2022 10:00 AM,11-Jul-2022 06:00 PM,NA ,NA ,04-Jul-2022 10:00 AM,11-Jul-2022 06:00 PM,26-Jul-2022 02:00 PM,C/o link road Gagruhi to Rajpootan Barota and Makrohal Km. 0/00 to 2/00,C/o approches of 6.00 mtr Span slab culvert at RD 0/455 (46.00 mtr. Length) and Pipe laying,Please refer to tender documents ,NA ,"7,69,936",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Division Dehra,No ,No,PWD,2022_PWD_62396_6,EE Dehra Letter No.2859-64 dt. 15.06.2022,C/o link road Gagruhi to Rajpootan Barota and Makrohal Km. 0/00 to 2/00,EE Dehra,Internal,"DHD,Supdt,DAO",Dinesh Kumar Dhiman,26-Jul-2022 01:07 PM,26-Jul-2022 02:00 PM,techsummary_94083.pdf (612.60 KB),EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,05-Oct-2022 04:40 PM,finsummary_94083.pdf (171.91 KB),15-Oct-2023,"INR 769,936",30.0,Arun Vashisht,15-Oct-2023 01:02 PM,62396_6Award.pdf (650.00 KB),Work award issued,1.0,290829.0,RAJ KUMAR,11-Jul-2022 01:39 PM,Accepted-AOC,L1,15-Oct-2023,Technical,Summary,Dinesh Kumar Dhiman,26-Jul-2022 12:38 PM,technical_94083.pdf,Finance,Summary,Dinesh Kumar Dhiman,05-Oct-2022 04:38 PM,finance_94083.pdf,BOQ Comparative Chart,1.0,290829.0,RAJ KUMAR,INR,"660,812"
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,290835.0,SANJAY KUMAR,11-Jul-2022 02:13 PM,Rejected-Finance,Highest Bidder,05-Oct-2022,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of GST Registration with copy of Return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Detail of existing commentments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of PAN card with IT Return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of registration under EPF with return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
