Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Executive Engineer,"Division No.1, HPPWD Bilaspur",PWD,PW-BLP1-CB-eproc/22-19786-830 dt 16.2.23,2023_PWD_70450_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of car parking near Gurudwara at Bilaspur.,C/O balance work of building.,Please refer Tender documents. ,NA ,"3,77,79,428",Civil Works - Buildings,C/O balance work of building. ,Tender,75.0,365.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur",No ,No,"5,000",Nil,Nil,No,09-Mar-2023 09:00 AM,22-Mar-2023 11:00 AM,09-Mar-2023 09:00 AM,22-Mar-2023 10:30 AM,NA ,NA ,09-Mar-2023 09:00 AM,22-Mar-2023 10:30 AM,12-Apr-2023 04:35 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Tender form cost and EMD indicated in schedule E.,"4,10,300",No,fixed,,Nil,Nil,PWD,2023_PWD_70450_1,PW-BLP1-CB-eproc/22-19786-830 dt 16.2.23,Construction of car parking near Gurudwara at Bilaspur.,Executive Engineer,Internal,HDM DAO SUPDT AEIIBlp,Manohar Lal Sharma,12-Apr-2023 04:31 PM,12-Apr-2023 04:35 PM,techsummary_106162.pdf (283.87 KB),Executive Engineer,Internal,HDM DAO SUPDT,Gurminder Singh,29-Apr-2023 02:39 PM,finsummary_106162.pdf (275.98 KB),25-Oct-2023,"INR 37,779,428",365.0,Gurminder Singh,25-Oct-2023 10:56 AM,Parkingaward.pdf (676.00 KB),Award letter dated 07/10/2023,1.0,336937.0,JEET KUMAR GUPTA,21-Mar-2023 10:27 PM,Accepted-AOC,Due to L1,25-Oct-2023,Technical,Technical bid evaluation summary,Manohar Lal Sharma,12-Apr-2023 04:30 PM,technical_106162.pdf,Finance,Financial bid opening summary,Gurminder Singh,29-Apr-2023 02:37 PM,finance_106162.pdf,BOQ Comparative Chart,1.0,336937.0,JEET KUMAR GUPTA,INR,"32,335,412"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,336382.0,KARTAR SINGH,21-Mar-2023 05:08 PM,Rejected-Finance,Due to L2,29-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST EPF and PAN Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,336437.0,Rattan Lal Sharma,21-Mar-2023 09:27 PM,Rejected-Finance,Due to L3,29-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fiancial turnover for last five years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machinery, lab equipments and technical personnels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in HPPWD and any litigation with the department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
