Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
500.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,PWD,PWD-BD-NIT-2018-19/15284-336,2019_PWD_25897_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,11-Jan-2019 04:00 PM,29-Jan-2019 11:00 AM,11-Jan-2019 04:00 PM,29-Jan-2019 10:30 AM,NA ,NA ,11-Jan-2019 04:00 PM,29-Jan-2019 10:30 AM,11-Feb-2019 02:00 PM,Construction of Chobin Sansai Road Km 0/0 to 13/800,Cutting in earth work between Km 5/180 to 5/795,Please refer Tender documents. ,NA ,"12,51,666",Civil Works - Roads,NA ,Tender,120.0,60.0,Chobin,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,1.0,DD - Demand Draft,"26,000",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,AOC,1.0,109465.0,Parvinder Rana,28-Jan-2019 07:45 PM,Accepted-AOC,Lower Bidder,08-Apr-2019 11:06 AM,Technical,Two bidders participated in this work and found responsive hence tender forwarded to open the financial bid.,Sanjiv Kumar,10-Feb-2019 11:15 AM,technical_36427.pdf,Finance,Financial Bid of the said work open successfully on 11.2.2019 and work awarded to contractor on 27.2.2019 to Sh. Parvinder Rana R/O Gowal.,Sanjiv Kumar,08-Apr-2019 11:02 AM,finance_36427.pdf,BOQ Comparative Chart,1.0,109465.0,Parvinder Rana,INR,"2,266,392",Er S K. Sood,Internal,Sh. Rajinder Chaudhary Sr DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt G-II Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,10-Feb-2019 11:17 AM,11-Feb-2019 02:00 PM,techsummary_36427.pdf (436.27 KB),PWD,2019_PWD_25897_1,PWD-BD-NIT-2018-19/15284-336,Construction of Chobin Sansai Road Km 0/0 to 13/800,08-Apr-2019,"INR 1,251,666",60.0,Sanjiv Kumar,08-Apr-2019 11:06 AM,AwardChobinsansai.pdf (278.00 KB),Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,08-Apr-2019 11:03 AM,finsummary_36427.pdf (166.60 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F,,,2.0,FDR - Fixed Deposit,,,,,,,AOC,2.0,109471.0,RISHI KESH,28-Jan-2019 08:05 PM,Rejected-AOC,Higher Side Bidder,08-Apr-2019 11:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Required Machinery tool plant with proof i.c hiring of machinery affidavit required,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit finished that contractor has not more than two works in hand.,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
