Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Periodical renewal coat 25mm thick semi dense bituminous concrete with paver on NMT to Andora Upperla km 000 to 1000 VR0040,Periodical renewal coat 25mm thick semi dense bituminous concrete with paver on NMT to Andora Upperla km 000 to 1000 VR0040,Tender documents ,NA ,"6,99,728",Civil Works,Road ,Tender,120.0,30.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,Executive Engineer,Division HPPWD Bharwain,22-Jun-2018 05:00 PM,30-Jun-2018 11:30 AM,23-Jun-2018 10:00 AM,29-Jun-2018 06:00 PM,NA ,NA ,23-Jun-2018 10:00 AM,29-Jun-2018 06:00 PM,09-Jul-2018 02:45 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form as indicated in scheduled (F),"14,000",No,fixed,,E E Bharwain,PNB at Amb,1.0,DD - Demand Draft,350.0,EE Bharwain,PNB at Amb,No,PWD,NMT to Andora Upperla Under Bharwain Division,2018_PWD_21821_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,Smt Pawana Kumari Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Harbans Lal Sharma,23-Aug-2018 12:41 PM,finance_30763.pdf,BOQ Comparative Chart,1.0,87742.0,ganesh,INR,"682,114",1.0,87742.0,ganesh,29-Jun-2018 09:52 AM,Accepted-AOC,ok,29-Apr-2019 04:28 PM,Technical,Smt Pawana Kumari Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Harbans Lal Sharma,09-Jul-2018 02:31 PM,technical_30763.pdf,PWD,2018_PWD_21821_1,NMT to Andora Upperla Under Bharwain Division,Periodical renewal coat 25mm thick semi dense bituminous concrete with paver on NMT to Andora Upperla km 000 to 1000 VR0040,Er.HL Sharma,Internal,Smt Pawana Kumari Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE,Harbans Lal Sharma,09-Jul-2018 02:42 PM,09-Jul-2018 02:45 PM,techsummary_30763.pdf (687.20 KB),Er.H.L. Sharma,Internal,Summary attached,Harbans Lal Sharma,29-Apr-2019 04:24 PM,finsummary_30763.pdf (755.74 KB),29-Apr-2019,"INR 699,728",30.0,Harbans Lal Sharma,29-Apr-2019 04:28 PM,7983dated792018.PDF (657.00 KB),Award Latter No. 7983-91 dated 07-09-2018,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in scheduled F),,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,87641.0,M/s Bhagwati Construction Co.,29-Jun-2018 10:30 AM,Rejected-AOC,ok,29-Apr-2019 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and Clearance certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. do not have more than two works at in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. authorization of upload and sign the tender documents formalities related to the work,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking that before submission of bid the site been visited,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder like to be provide,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 7 and 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor eligible to tender for his own class and one step below,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"contractor will have to submit the proof of Registration under EPF and Misc provision Act,1952(EPF",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. list of both Gazetted officer and NGO serving as HPPWD employee related to him (Gener,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
