Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
02-Apr-2019,"INR 639,980",60.0,Vijay Kumar Aggarwal,02-Apr-2019 03:14 PM,award21_020to29_957.PDF (839.00 KB),Award,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE,Vijay Kumar Aggarwal,01-Apr-2019 01:29 PM,finsummary_35053.pdf (22.76 KB),Er VK Aggarwal,Internal,TA Supttd DHD AE Dhaulakuan DAO,Vijay Kumar Aggarwal,21-Dec-2018 01:42 PM,21-Dec-2018 02:30 PM,techsummary_35053.pdf (2874.87 KB),PWD,2018_PWD_25063_5,NIT No. 11033-72 dated 17.11.2018,"Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road Km 0/0 to 78/0 on NH 907A (SH Construction of PCC Retaining wall at RD 21/020 to 21/030, 27/750 to 27/765 and 29/950 to 29/957).",1.0,103584.0,Bharat Bhushan Mohil,INR,"646,043",Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 01:17 PM,finance_35053.pdf,BOQ Comparative Chart,Technical,Summary,Vijay Kumar Aggarwal,21-Dec-2018 01:21 PM,technical_35053.pdf,1,103483,Ajeet Singh Govt. Contractor,17-Dec-2018 04:58 PM,Rejected-AOC,9th lowest,02-Apr-2019 03:14 PM,AOC,"Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road Km 0/0 to 78/0 on NH 907A (SH Construction of PCC Retaining wall at RD 21/020 to 21/030, 27/750 to 27/765 and 29/950 to 29/957).","Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road Km 0/0 to 78/0 on NH 907A (SH Construction of PCC Retaining wall at RD 21/020 to 21/030, 27/750 to 27/765 and 29/950 to 29/957).",Refer tender Document ,NA ,"6,39,980",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),Executive Engineer,Executive Engineer NH Division HPPWD Nahan,"14,000",No,fixed,,EE NH Division HPPWD Nahan,Nahan,350.0,EE NH Division HPPWD Nahan,Nahan,No,PWD,NIT No. 11033-72 dated 17.11.2018,2018_PWD_25063_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,01-Dec-2018 04:00 PM,18-Dec-2018 11:30 AM,01-Dec-2018 04:30 PM,18-Dec-2018 10:30 AM,NA ,NA ,01-Dec-2018 04:30 PM,18-Dec-2018 10:30 AM,21-Dec-2018 02:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,103629,BALBIR SINGH,17-Dec-2018 05:45 PM,Rejected-AOC,5th lowest,02-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,103584,Bharat Bhushan Mohil,17-Dec-2018 02:22 PM,Accepted-AOC,1st lowest,02-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,103575,Heera Devi,17-Dec-2018 12:39 PM,Rejected-AOC,6th lowest,02-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,103499,MAMTA DEVI GOVT.CONTRACTOR,15-Dec-2018 05:11 PM,Rejected-AOC,7th lowest,02-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,103549,Natta Ram,17-Dec-2018 08:49 PM,Rejected-AOC,3rd lowest,02-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,103578,NITIN SHARMA,17-Dec-2018 02:35 PM,Rejected-AOC,2nd lowest,02-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,103546,PRATAP CHAUHAN,17-Dec-2018 07:37 PM,Rejected-AOC,4th lowest,02-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,103601,Ravinder Singh,17-Dec-2018 03:33 PM,Rejected-Technical,Does not fulfil minimum qualification,21-Dec-2018 01:42 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,103496,Yesh Pal Singh,15-Dec-2018 04:39 PM,Rejected-AOC,8th lowest,02-Apr-2019 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
